directory,distance,energy
AT1,0.8431524369707534,0.0
AT2,1.0030974189373671,0.0
AT3,1.1630796077808758,-3967.110457
AT4,1.3230855068514824,-3986.560124
AT5,1.4831074421945944,-3994.235395
AT6,1.6431407286028061,-3997.097959
AT7,1.8031823438414516,-3998.636269
AT8,1.963230251024459,-3999.104433
AT9,2.1232830273379455,-3999.433611
AT10,2.283339648863708,-3999.458856
AT11,2.4433993599517274,-3999.405059
AT12,2.6034615907671466,-3999.342909
AT13,2.763525903485421,-3999.247748
AT14,2.923591956159041,-3999.328921
AT15,3.08365947783613,-3999.045751
AT16,3.2437282510449563,-3999.018303
AT17,3.4037980992199817,-3999.002038
AT18,3.5638688775160867,-3999.051024
AT19,3.7239404659916095,-3998.845548
AT20,3.8840127644769216,-3998.975207
AT21,4.044085688661571,-3998.869123
AT22,4.204159167075246,-3998.744928
AT23,4.364233138733097,-3998.795476
AT24,4.524307551280888,-3998.951818
AT25,4.684382359520433,-3998.779388
AT26,4.844457524227351,-3998.746328
AT27,5.00453301119571,-3998.752841
AT28,5.164608790460319,-3998.862458
AT29,5.324684835659313,-3998.693004
AT30,5.484761123508325,-3998.76463
AT31,5.644837633364151,-3998.849944
AT32,5.804914346860587,-3998.659599
AT33,5.964991247602916,-3998.642868
AT34,6.125068320910285,-3998.843231
AT35,6.285145553597457,-3998.786707
AT36,6.445222933789092,-3998.754384
AT37,6.605300450761015,-3998.693342
AT38,6.765378094804036,-3998.769994
AT39,6.925455857106644,-3998.802749
AT40,7.0855337296536085,-3998.754059
