directory,distance,energy
GC1,0.8365398491567522,-3792.382843
GC2,0.9853764996867721,-4020.987926
GC3,1.134235717756256,-4097.602778
GC4,1.2831096489094316,-4127.05778
GC5,1.4319937043179558,-4139.083341
GC6,1.580885023548322,-4144.294041
GC7,1.7297817308966572,-4146.554359
GC8,1.8786825452427116,-4147.561199
GC9,2.0275865617642013,-4148.044085
GC10,2.176493123234083,-4148.056781
GC11,2.3254017407568686,-4147.896225
GC12,2.4743120431215293,-4147.804331
GC13,2.6232237434021406,-4147.630322
GC14,2.7721366163218906,-4147.402465
GC15,2.9210504825401027,-4147.284138
GC16,3.069965197511902,-4147.09833
GC17,3.218880643439915,-4147.075723
GC18,3.3677967233610415,-4146.958362
GC19,3.5167133567355062,-4146.753793
GC20,3.665630476111006,-4146.730361
GC21,3.8145480245681833,-4146.797008
GC22,3.9634659537419523,-4146.706716
GC23,4.112384222272709,-4146.540849
GC24,4.2613027945822815,-4146.52225
GC25,4.410221639897859,-4146.599815
GC26,4.559140731467202,-4146.577837
GC27,4.708060045922797,-4146.416388
GC28,4.85697956276297,-4146.491299
GC29,5.005899263925627,-4146.498066
GC30,5.15481913343586,-4146.377835
GC31,5.303739157112939,-4146.301381
GC32,5.452659322325305,-4146.343504
GC33,5.601579617784645,-4146.435737
GC34,5.75050003337197,-4146.436407
GC35,5.899420559990025,-4146.310865
GC36,6.048341189437511,-4146.268245
GC37,6.197261914301433,-4146.319279
GC38,6.346182727864608,-4146.336618
GC39,6.495103624025904,-4146.288346
GC40,6.644024597231195,-4146.257532
