      E            Ntot
     -5.000000    142.371890
     -4.949749    157.778146
     -4.899497    175.157676
     -4.849246    191.958585
     -4.798995    206.747839
     -4.748744    219.444175
     -4.698492    230.828815
     -4.648241    241.777191
     -4.597990    252.736050
     -4.547739    263.645233
     -4.497487    274.107433
     -4.447236    283.510400
     -4.396985    291.010818
     -4.346734    295.492747
     -4.296482    295.624113
     -4.246231    290.066300
     -4.195980    277.881490
     -4.145729    259.129305
     -4.095477    235.421557
     -4.045226    209.990090
     -3.994975    186.961166
     -3.944724    170.048585
     -3.894472    161.351309
     -3.844221    160.921414
     -3.793970    167.257286
     -3.743719    178.308878
     -3.693467    192.382171
     -3.643216    208.551685
     -3.592965    226.553196
     -3.542714    246.349613
     -3.492462    267.598975
     -3.442211    289.238308
     -3.391960    309.396812
     -3.341709    325.772725
     -3.291457    336.372267
     -3.241206    340.249115
     -3.190955    337.849775
     -3.140704    330.825264
     -3.090452    321.476302
     -3.040201    312.098148
     -2.989950    304.400580
     -2.939698    299.105792
     -2.889447    295.845677
     -2.839196    293.454125
     -2.788945    290.580435
     -2.738693    286.345157
     -2.688442    280.705738
     -2.638191    274.353898
     -2.587940    268.234341
     -2.537688    263.009027
     -2.487437    258.856509
     -2.437186    255.791234
     -2.386935    254.261278
     -2.336683    255.446176
     -2.286432    260.824364
     -2.236181    271.216370
     -2.185930    286.057605
     -2.135678    303.504136
     -2.085427    321.235645
     -2.035176    337.258912
     -1.984925    350.169806
     -1.934673    358.928654
     -1.884422    362.588846
     -1.834171    360.324004
     -1.783920    351.775310
     -1.733668    337.499441
     -1.683417    319.221148
     -1.633166    299.662099
     -1.582915    281.927373
     -1.532663    268.692440
     -1.482412    261.542610
     -1.432161    260.683930
     -1.381910    265.028947
     -1.331658    272.561616
     -1.281407    280.891779
     -1.231156    287.875391
     -1.180905    292.081469
     -1.130653    292.888266
     -1.080402    290.202793
     -1.030151    284.088600
     -0.979899    274.669889
     -0.929648    262.418103
     -0.879397    248.522315
     -0.829146    234.875491
     -0.778894    223.457938
     -0.728643    215.369037
     -0.678392    210.067073
     -0.628141    205.312231
     -0.577889    197.958512
     -0.527638    185.329060
     -0.477387    166.600654
     -0.427136    143.523597
     -0.376884    120.016605
     -0.326633    100.703246
     -0.276382     89.045479
     -0.226131     85.974711
     -0.175879     89.616630
     -0.125628     96.092166
     -0.075377    100.926457
     -0.025126    100.530188
      0.025126     93.330152
      0.075377     80.187783
      0.125628     63.873819
      0.175879     47.772081
      0.226131     34.469201
      0.276382     24.969648
      0.326633     18.818257
      0.376884     14.824226
      0.427136     11.834296
      0.477387      9.169769
      0.527638      6.661471
      0.577889      4.438527
      0.628141      2.677825
      0.678392      1.451716
      0.728643      0.703836
      0.778894      0.304544
      0.829146      0.119082
      0.879397      0.049212
      0.929648      0.046348
      0.979899      0.114911
      1.030151      0.325379
      1.080402      0.844702
      1.130653      1.972350
      1.180905      4.147280
      1.231156      7.877346
      1.281407     13.560013
      1.331658     21.224601
      1.381910     30.311455
      1.432161     39.654212
      1.482412     47.779288
      1.532663     53.462756
      1.582915     56.276287
      1.633166     56.784937
      1.683417     56.242883
      1.733668     55.961509
      1.783920     56.729345
      1.834171     58.587858
      1.884422     61.019310
      1.934673     63.392082
      1.984925     65.416649
      2.035176     67.364257
      2.085427     69.899987
      2.135678     73.602659
      2.185930     78.474010
      2.236181     83.777368
      2.286432     88.331956
      2.336683     91.094010
      2.386935     91.698921
      2.437186     90.689078
      2.487437     89.333486
      2.537688     89.145371
      2.587940     91.331941
      2.638191     96.413991
      2.688442    104.141047
      2.738693    113.670460
      2.788945    123.867267
      2.839196    133.573765
      2.889447    141.779689
      2.939698    147.719212
      2.989950    150.956386
      3.040201    151.481752
      3.090452    149.769206
      3.140704    146.701114
      3.190955    143.327372
      3.241206    140.567051
      3.291457    139.047124
      3.341709    139.164631
      3.391960    141.233826
      3.442211    145.490383
      3.492462    151.894454
      3.542714    159.926423
      3.592965    168.622713
      3.643216    176.889112
      3.693467    183.876827
      3.743719    189.177789
      3.793970    192.809200
      3.844221    195.155161
      3.894472    196.972901
      3.944724    199.329892
      3.994975    203.252320
      4.045226    209.122945
      4.095477    216.228160
      4.145729    222.888567
      4.195980    227.207712
      4.246231    228.009359
      4.296482    225.420521
      4.346734    220.811573
      4.396985    216.150683
      4.447236    213.091453
      4.497487    212.263924
      4.547739    213.177118
      4.597990    214.752376
      4.648241    216.003435
      4.698492    216.261908
      4.748744    214.835836
      4.798995    210.646280
      4.849246    202.505211
      4.899497    190.071950
      4.949749    174.736836
      5.000000    159.547285
