      E            Ntot
     -6.000000     58.333131
     -5.939698     56.753131
     -5.879397     55.152937
     -5.819095     53.208942
     -5.758794     51.526908
     -5.698492     51.426196
     -5.638191     54.116446
     -5.577889     59.742752
     -5.517588     66.963990
     -5.457286     73.458015
     -5.396985     77.077629
     -5.336683     76.855315
     -5.276382     73.278591
     -5.216080     67.961991
     -5.155779     63.138390
     -5.095477     61.091678
     -5.035176     63.428586
     -4.974874     70.340032
     -4.914573     80.364248
     -4.854271     91.075896
     -4.793970    100.450559
     -4.733668    107.941505
     -4.673367    114.425418
     -4.613065    121.185360
     -4.552764    128.879379
     -4.492462    137.163917
     -4.432161    144.904059
     -4.371859    150.601992
     -4.311558    152.775890
     -4.251256    150.209795
     -4.190955    142.254654
     -4.130653    129.389768
     -4.070352    113.720658
     -4.010050     98.647354
     -3.949749     87.515216
     -3.889447     82.166518
     -3.829146     82.501593
     -3.768844     87.179353
     -3.708543     94.680139
     -3.648241    103.981200
     -3.587940    114.632221
     -3.527638    126.399560
     -3.467337    138.772526
     -3.407035    150.634496
     -3.346734    160.359617
     -3.286432    166.433403
     -3.226131    168.287682
     -3.165829    166.683773
     -3.105528    163.276939
     -3.045226    159.740216
     -2.984925    157.066412
     -2.924623    155.274794
     -2.864322    153.504610
     -2.804020    150.556281
     -2.743719    145.763468
     -2.683417    139.612896
     -2.623116    133.507806
     -2.562814    128.793920
     -2.502513    125.915319
     -2.442211    124.498733
     -2.381910    124.287901
     -2.321608    125.955704
     -2.261307    130.807619
     -2.201005    139.476198
     -2.140704    150.889036
     -2.080402    162.630369
     -2.020101    172.341390
     -1.959799    178.779947
     -1.899497    181.744241
     -1.839196    181.325063
     -1.778894    177.442745
     -1.718593    170.147492
     -1.658291    160.329706
     -1.597990    149.971488
     -1.537688    141.447907
     -1.477387    136.397080
     -1.417085    135.109646
     -1.356784    136.739085
     -1.296482    139.872183
     -1.236181    143.010099
     -1.175879    144.927006
     -1.115578    144.934894
     -1.055276    142.874678
     -0.994975    138.815923
     -0.934673    132.894982
     -0.874372    125.621395
     -0.814070    118.229040
     -0.753769    112.285730
     -0.693467    108.501836
     -0.633166    105.747972
     -0.572864    101.398597
     -0.512563     93.028217
     -0.452261     80.280929
     -0.391960     65.507995
     -0.331658     52.630097
     -0.271357     44.942875
     -0.211055     43.316522
     -0.150754     45.857974
     -0.090452     49.012817
     -0.030151     49.337942
      0.030151     45.112933
      0.090452     37.051522
      0.150754     27.624638
      0.211055     19.384243
      0.271357     13.560692
      0.331658      9.895180
      0.391960      7.452214
      0.452261      5.476390
      0.512563      3.709382
      0.572864      2.229936
      0.633166      1.164025
      0.693467      0.520844
      0.753769      0.198148
      0.814070      0.063807
      0.874372      0.017827
      0.934673      0.007336
      0.994975      0.018090
      1.055276      0.074555
      1.115578      0.270052
      1.175879      0.829552
      1.236181      2.162637
      1.296482      4.796835
      1.356784      9.082694
      1.417085     14.754431
      1.477387     20.729277
      1.537688     25.534864
      1.597990     28.213388
      1.658291     28.952643
      1.718593     28.848235
      1.778894     29.041284
      1.839196     30.009020
      1.899497     31.492996
      1.959799     32.956139
      2.020101     34.142067
      2.080402     35.308188
      2.140704     36.951942
      2.201005     39.270196
      2.261307     41.840420
      2.321608     43.811228
      2.381910     44.464817
      2.442211     43.774581
      2.502513     42.609232
      2.562814     42.397283
      2.623116     44.353864
      2.683417     48.740497
      2.743719     54.724667
      2.804020     60.956938
      2.864322     66.359632
      2.924623     70.501966
      2.984925     73.422838
      3.045226     75.259978
      3.105528     76.057657
      3.165829     75.810356
      3.226131     74.607060
      3.286432     72.789137
      3.346734     71.072632
      3.407035     70.475768
      3.467337     71.888713
      3.527638     75.475842
      3.587940     80.467220
      3.648241     85.641400
      3.708543     90.066324
      3.768844     93.418761
      3.829146     95.817832
      3.889447     97.671277
      3.949749     99.714505
      4.010050    102.809729
      4.070352    107.259793
      4.130653    112.200956
      4.190955    115.854076
      4.251256    116.660162
      4.311558    114.495091
      4.371859    110.994302
      4.432161    108.555050
      4.492462    108.620192
      4.552764    110.673995
      4.613065    112.868159
      4.673367    113.516959
      4.733668    111.844793
      4.793970    107.552251
      4.854271    100.399304
      4.914573     90.777406
      4.974874     80.505416
      5.035176     72.405119
      5.095477     68.652171
      5.155779     69.492003
      5.216080     73.513188
      5.276382     78.918856
      5.336683     84.427563
      5.396985     89.278271
      5.457286     92.883879
      5.517588     94.791245
      5.577889     95.046025
      5.638191     94.535880
      5.698492     94.799476
      5.758794     97.278785
      5.819095    102.597431
      5.879397    110.394834
      5.939698    119.630506
      6.000000    128.975138
