S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
0.10,0.20,1.50,0.25,0.00,0.00,1.48581,1.30332,0.00000,0.00000,0.697282600
0.11,0.20,1.50,0.25,0.00,0.00,1.48581,1.30332,0.00000,0.00000,0.697282600
0.10,0.21,1.50,0.25,0.00,0.00,1.60405,1.31934,0.00000,0.00000,0.730847143
0.10,0.20,1.58,0.25,0.00,0.00,1.48581,1.30332,0.00000,0.00000,0.697282885
0.10,0.19,1.55,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904993
0.11,0.18,1.58,0.25,0.00,0.00,1.34224,0.83035,0.00000,0.00000,0.543148847
0.11,0.19,1.46,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904690
0.11,0.19,1.40,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904570
0.10,0.19,1.47,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904743
0.11,0.18,1.44,0.25,0.00,0.00,1.34224,0.83035,0.00000,0.00000,0.543148425
0.11,0.18,1.46,0.25,0.00,0.00,1.34224,0.83035,0.00000,0.00000,0.543148473
0.11,0.19,1.43,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904605
0.11,0.19,1.48,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904743
0.10,0.20,1.45,0.25,0.00,0.00,1.48581,1.30332,0.00000,0.00000,0.697282495
0.11,0.18,1.42,0.25,0.00,0.00,1.34224,0.83035,0.00000,0.00000,0.543148390
0.11,0.19,1.43,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904605
0.11,0.19,1.37,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904508
0.11,0.19,1.31,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904415
0.11,0.19,1.33,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904455
0.11,0.19,1.26,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904365
0.12,0.19,1.18,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904313
0.11,0.18,1.15,0.25,0.00,0.00,1.34224,0.83035,0.00000,0.00000,0.543148080
