S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
0.30,0.40,1.50,2.50,0.00,0.00,0.00098,0.00458,0.00000,0.00000,0.001389182
0.30,0.42,1.50,2.50,0.00,0.00,0.00091,0.00433,0.00000,0.00000,0.001309597
0.30,0.40,1.58,2.50,0.00,0.00,0.00098,0.00457,0.00000,0.00000,0.001388927
0.28,0.41,1.55,2.50,0.00,0.00,0.00095,0.00445,0.00000,0.00000,0.001349107
0.29,0.42,1.58,2.50,0.00,0.00,0.00091,0.00433,0.00000,0.00000,0.001309342
0.29,0.43,1.62,2.50,0.00,0.00,0.00088,0.00420,0.00000,0.00000,0.001269912
0.28,0.44,1.54,2.50,0.00,0.00,0.00085,0.00410,0.00000,0.00000,0.001238382
0.27,0.47,1.53,2.50,0.00,0.00,0.00081,0.00388,0.00000,0.00000,0.001171507
0.28,0.47,1.55,2.50,0.00,0.00,0.00081,0.00388,0.00000,0.00000,0.001171447
0.29,0.49,1.55,2.50,0.00,0.00,0.00079,0.00378,0.00000,0.00000,0.001142525
0.26,0.51,1.63,2.50,0.00,0.00,0.00077,0.00368,0.00000,0.00000,0.001114738
0.24,0.55,1.70,2.50,0.00,0.00,0.00074,0.00358,0.00000,0.00000,0.001080962
0.24,0.58,1.56,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001065757
0.22,0.65,1.53,2.50,0.00,0.00,0.00077,0.00354,0.00000,0.00000,0.001078955
0.24,0.61,1.68,2.50,0.00,0.00,0.00073,0.00353,0.00000,0.00000,0.001067020
0.20,0.67,1.74,2.50,0.00,0.00,0.00080,0.00356,0.00000,0.00000,0.001089982
0.22,0.63,1.69,2.50,0.00,0.00,0.00075,0.00353,0.00000,0.00000,0.001070320
0.23,0.66,1.59,2.50,0.00,0.00,0.00079,0.00355,0.00000,0.00000,0.001084497
0.24,0.58,1.67,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001065310
0.26,0.55,1.58,2.50,0.00,0.00,0.00074,0.00359,0.00000,0.00000,0.001081590
0.23,0.61,1.67,2.50,0.00,0.00,0.00073,0.00353,0.00000,0.00000,0.001067142
0.25,0.57,1.61,2.50,0.00,0.00,0.00073,0.00355,0.00000,0.00000,0.001068972
0.24,0.60,1.65,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001065232
0.24,0.55,1.57,2.50,0.00,0.00,0.00074,0.00359,0.00000,0.00000,0.001081662
0.24,0.60,1.65,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001065232
0.23,0.61,1.76,2.50,0.00,0.00,0.00074,0.00353,0.00000,0.00000,0.001066590
0.24,0.58,1.61,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001065602
0.24,0.60,1.71,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001064872
0.23,0.61,1.76,2.50,0.00,0.00,0.00074,0.00353,0.00000,0.00000,0.001066590
0.24,0.62,1.67,2.50,0.00,0.00,0.00074,0.00353,0.00000,0.00000,0.001068617
0.24,0.59,1.67,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001064515
0.23,0.59,1.70,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001064262
0.23,0.59,1.73,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001064120
