S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
0.30,0.40,1.50,0.25,0.00,0.00,0.00315,0.00464,0.00006,0.00000,0.001962950
0.32,0.40,1.50,0.25,0.00,0.00,0.00315,0.00464,0.00006,0.00000,0.001962950
0.30,0.42,1.50,0.25,0.00,0.00,0.00315,0.00464,0.00006,0.00000,0.001962950
0.30,0.40,1.58,0.25,0.00,0.00,0.00305,0.00448,0.00005,0.00000,0.001896410
0.31,0.38,1.55,0.25,0.00,0.00,0.00310,0.00457,0.00006,0.00000,0.001932198
0.29,0.39,1.58,0.25,0.00,0.00,0.00305,0.00448,0.00005,0.00000,0.001896410
0.30,0.38,1.64,0.25,0.00,0.00,0.00296,0.00432,0.00004,0.00000,0.001831005
0.30,0.37,1.71,0.25,0.00,0.00,0.00284,0.00412,0.00004,0.00000,0.001750683
0.29,0.39,1.69,0.25,0.00,0.00,0.00288,0.00419,0.00004,0.00000,0.001779200
0.30,0.38,1.74,0.25,0.00,0.00,0.00280,0.00404,0.00004,0.00000,0.001720033
0.30,0.38,1.81,0.25,0.00,0.00,0.00258,0.00367,0.00005,0.00000,0.001574855
0.29,0.36,1.90,0.25,0.00,0.00,0.00237,0.00332,0.00007,0.00000,0.001440128
0.29,0.34,2.06,0.25,0.00,0.00,0.00171,0.00218,0.00015,0.00000,0.001009868
0.31,0.34,2.03,0.25,0.00,0.00,0.00182,0.00237,0.00014,0.00000,0.001083138
0.30,0.34,2.23,0.25,0.00,0.00,0.00085,0.00070,0.00028,0.00000,0.000459665
0.30,0.32,2.49,0.25,0.00,0.00,0.00167,0.00348,0.00060,0.00000,0.001439072
0.30,0.29,2.40,0.25,0.00,0.00,0.00087,0.00206,0.00048,0.00000,0.000851563
0.28,0.31,2.43,0.25,0.00,0.00,0.00112,0.00251,0.00052,0.00000,0.001036593
0.29,0.32,2.33,0.25,0.00,0.00,0.00053,0.00124,0.00040,0.00000,0.000544722
0.31,0.29,2.58,0.25,0.00,0.00,0.00264,0.00519,0.00075,0.00000,0.002143620
0.29,0.33,2.19,0.25,0.00,0.00,0.00102,0.00099,0.00026,0.00000,0.000566173
0.29,0.36,2.10,0.25,0.00,0.00,0.00146,0.00174,0.00019,0.00000,0.000848783
0.29,0.34,2.17,0.25,0.00,0.00,0.00117,0.00126,0.00024,0.00000,0.000666288
0.30,0.31,2.33,0.25,0.00,0.00,0.00053,0.00124,0.00040,0.00000,0.000544722
0.30,0.31,2.40,0.25,0.00,0.00,0.00087,0.00206,0.00048,0.00000,0.000851563
0.30,0.32,2.24,0.25,0.00,0.00,0.00068,0.00046,0.00031,0.00000,0.000362173
0.30,0.34,2.21,0.25,0.00,0.00,0.00085,0.00070,0.00028,0.00000,0.000459665
0.31,0.35,2.12,0.25,0.00,0.00,0.00146,0.00174,0.00019,0.00000,0.000848783
0.29,0.32,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.30,0.31,2.29,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.29,0.30,2.32,0.25,0.00,0.00,0.00054,0.00087,0.00037,0.00000,0.000446473
0.29,0.31,2.29,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.30,0.31,2.33,0.25,0.00,0.00,0.00053,0.00124,0.00040,0.00000,0.000544722
0.30,0.32,2.27,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.30,0.31,2.31,0.25,0.00,0.00,0.00054,0.00087,0.00037,0.00000,0.000446473
0.30,0.32,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.30,0.32,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.29,0.32,2.29,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.30,0.32,2.27,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.0000362078
0.30,0.32,2.29,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.30,0.32,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.30,0.32,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.29,0.32,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.30,0.32,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.30,0.32,2.29,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.30,0.32,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.30,0.32,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.29,0.32,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.29,0.32,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.29,0.32,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.29,0.32,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.30,0.32,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.29,0.32,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.29,0.32,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.30,0.40,1.50,0.25,0.00,0.00,0.00315,0.00464,0.00006,0.00000,0.001962950
3.80,0.40,1.50,0.25,0.00,0.00,0.05502,0.04191,0.00049,0.00000,0.024356632
0.30,3.90,1.50,0.25,0.00,0.00,0.00628,0.01343,0.00086,0.00000,0.005143362
0.30,0.40,5.00,0.25,0.00,0.00,0.08587,0.15753,0.01454,0.00000,0.064485637
0.00,0.00,0.00,0.25,0.00,0.00,0.59077,1.13670,0.03648,0.00000,0.440985503
0.28,0.40,2.37,0.25,0.00,0.00,0.00063,0.00164,0.00044,0.00000,0.000677080
1.14,0.22,2.39,0.25,0.00,0.00,0.00898,0.00478,0.00054,0.00000,0.003572610
0.46,1.25,2.38,0.25,0.00,0.00,0.00413,0.00209,0.00067,0.00000,0.001722250
-0.00,0.28,2.69,0.25,0.00,0.00,0.59076,1.13668,0.03649,0.00000,0.440983135
0.33,0.61,2.38,0.25,0.00,0.00,0.00087,0.00206,0.00048,0.00000,0.000851563
0.20,0.42,2.31,0.25,0.00,0.00,0.00054,0.00087,0.00037,0.00000,0.000446473
0.33,0.39,2.14,0.25,0.00,0.00,0.00132,0.00151,0.00021,0.00000,0.000760370
0.09,0.40,2.30,0.25,0.00,0.00,0.00054,0.00087,0.00037,0.00000,0.000446473
0.19,0.52,2.31,0.25,0.00,0.00,0.00054,0.00087,0.00037,0.00000,0.000446473
0.20,0.41,2.25,0.25,0.00,0.00,0.00068,0.00046,0.00031,0.00000,0.000362173
0.21,0.41,2.20,0.25,0.00,0.00,0.00102,0.00099,0.00026,0.00000,0.000566173
0.17,0.41,2.25,0.25,0.00,0.00,0.00068,0.00046,0.00031,0.00000,0.000362173
0.21,0.41,2.20,0.25,0.00,0.00,0.00102,0.00099,0.00026,0.00000,0.000566173
0.20,0.39,2.25,0.25,0.00,0.00,0.00068,0.00046,0.00031,0.00000,0.000362173
0.20,0.42,2.31,0.25,0.00,0.00,0.00054,0.00087,0.00037,0.00000,0.000446473
0.20,0.42,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.20,0.42,2.29,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.20,0.42,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.21,0.42,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.20,0.42,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.20,0.42,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.20,0.42,2.28,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.30,4.20,1.50,0.25,0.00,0.00,0.01322,0.02271,0.00147,0.00000,0.009350683
