S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
0.30,0.40,1.50,2.50,0.00,0.00,0.00565,0.00578,0.00008,0.00000,0.002877272
0.32,0.40,1.50,2.50,0.00,0.00,0.00565,0.00578,0.00008,0.00000,0.002877272
0.30,0.42,1.50,2.50,0.00,0.00,0.00565,0.00578,0.00008,0.00000,0.002877272
0.30,0.40,1.58,2.50,0.00,0.00,0.00563,0.00574,0.00008,0.00000,0.002861872
0.31,0.38,1.55,2.50,0.00,0.00,0.00563,0.00575,0.00008,0.00000,0.002866770
0.29,0.39,1.58,2.50,0.00,0.00,0.00563,0.00574,0.00008,0.00000,0.002861872
0.30,0.38,1.64,2.50,0.00,0.00,0.00560,0.00569,0.00008,0.00000,0.002842405
0.30,0.37,1.71,2.50,0.00,0.00,0.00554,0.00560,0.00007,0.00000,0.002804060
0.29,0.39,1.69,2.50,0.00,0.00,0.00556,0.00563,0.00007,0.00000,0.002815080
0.30,0.38,1.74,2.50,0.00,0.00,0.00553,0.00557,0.00007,0.00000,0.002792172
0.30,0.38,1.81,2.50,0.00,0.00,0.00546,0.00547,0.00007,0.00000,0.002750717
0.29,0.36,1.90,2.50,0.00,0.00,0.00536,0.00529,0.00007,0.00000,0.002678330
0.29,0.34,2.06,2.50,0.00,0.00,0.00512,0.00490,0.00007,0.00000,0.002523427
0.31,0.34,2.03,2.50,0.00,0.00,0.00517,0.00497,0.00007,0.00000,0.002553790
0.30,0.34,2.23,2.50,0.00,0.00,0.00471,0.00420,0.00008,0.00000,0.002248295
0.30,0.32,2.49,2.50,0.00,0.00,0.00383,0.00279,0.00020,0.00000,0.001706410
0.30,0.28,2.57,2.50,0.00,0.00,0.00356,0.00250,0.00024,0.00000,0.001577385
0.30,0.23,2.96,2.50,0.00,0.00,0.00204,0.00218,0.00060,0.00000,0.001202045
0.28,0.26,2.98,2.50,0.00,0.00,0.00188,0.00266,0.00064,0.00000,0.001294880
0.30,0.20,3.50,2.50,0.00,0.00,0.00549,0.01232,0.00153,0.00000,0.004837140
0.29,0.30,2.43,2.50,0.00,0.00,0.00407,0.00313,0.00017,0.00000,0.001839435
0.30,0.24,3.18,2.50,0.00,0.00,0.00168,0.00557,0.00091,0.00000,0.002037610
0.29,0.29,2.62,2.50,0.00,0.00,0.00326,0.00218,0.00029,0.00000,0.001431250
0.28,0.20,3.22,2.50,0.00,0.00,0.00206,0.00625,0.00097,0.00000,0.002321950
0.30,0.29,2.67,2.50,0.00,0.00,0.00309,0.00200,0.00032,0.00000,0.001351235
0.29,0.23,3.11,2.50,0.00,0.00,0.00160,0.00430,0.00079,0.00000,0.001672873
0.29,0.27,2.74,2.50,0.00,0.00,0.00284,0.00161,0.00038,0.00000,0.001208645
0.29,0.22,3.11,2.50,0.00,0.00,0.00160,0.00430,0.00079,0.00000,0.001672873
0.30,0.27,2.78,2.50,0.00,0.00,0.00272,0.00158,0.00041,0.00000,0.001177258
0.31,0.26,2.68,2.50,0.00,0.00,0.00309,0.00200,0.00032,0.00000,0.001351235
0.29,0.26,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.30,0.23,3.01,2.50,0.00,0.00,0.00171,0.00318,0.00069,0.00000,0.001393597
0.29,0.26,2.81,2.50,0.00,0.00,0.00260,0.00160,0.00044,0.00000,0.001160188
0.29,0.30,2.71,2.50,0.00,0.00,0.00295,0.00181,0.00035,0.00000,0.001278545
0.30,0.25,2.89,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.24,2.96,2.50,0.00,0.00,0.00204,0.00218,0.00060,0.00000,0.001202045
0.29,0.26,2.82,2.50,0.00,0.00,0.00247,0.00162,0.00048,0.00000,0.001142760
0.29,0.25,2.93,2.50,0.00,0.00,0.00204,0.00218,0.00060,0.00000,0.001202045
0.29,0.26,2.84,2.50,0.00,0.00,0.00247,0.00162,0.00048,0.00000,0.001142760
0.29,0.25,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.24,2.97,2.50,0.00,0.00,0.00188,0.00266,0.00064,0.00000,0.001294880
0.29,0.26,2.86,2.50,0.00,0.00,0.00233,0.00165,0.00052,0.00000,0.001125040
0.29,0.25,2.94,2.50,0.00,0.00,0.00204,0.00218,0.00060,0.00000,0.001202045
0.29,0.26,2.88,2.50,0.00,0.00,0.00233,0.00165,0.00052,0.00000,0.001125040
0.29,0.25,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.26,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.26,2.88,2.50,0.00,0.00,0.00233,0.00165,0.00052,0.00000,0.001125040
0.29,0.25,2.92,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.25,2.91,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.26,2.89,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.26,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.26,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.26,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.26,2.91,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.26,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.26,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.26,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.26,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
