S,P,D,F,rcore_flag,rcore,DeltaE,qmax,Score
1.04,0.66,1.35,0.75,0.0,0.0,129.55461,1.9051482536448665,131.45975825364485
1.35,0.8,1.99,1.39,0.0,0.0,82.49398,1.8725700114960693,84.36655001149606
0.58,1.02,1.22,3.62,0.0,0.0,142.86368,1.9051482536448665,144.76882825364484
0.07,1.52,1.8,1.2,0.0,0.0,244.05499,1.9051482536448665,245.96013825364486
1.15,1.52,1.8,1.2,0.0,0.0,487.045,1.9051482536448665,488.9501482536449
1.15,1.2,1.8,1.2,0.0,0.0,101.11827,1.9051482536448665,103.02341825364486
1.15,1.2,2.82,1.2,0.0,0.0,101.11827,1.9051482536448665,103.02341825364486
1.15,1.2,2.82,2.44,0.0,0.0,101.11827,1.9051482536448665,103.02341825364486
0.1,2.11,1.23,2.89,0.0,0.0,84.07068000000001,1.9051482536448665,85.97582825364488
0.76,1.03,1.2,1.55,0.0,0.0,305.86582,1.2740615889607665,307.13988158896075
1.46,2.46,1.7,1.75,0.0,0.0,305.68477,0.9375812532524875,306.6223512532525
1.22,2.48,2.34,1.01,0.0,0.0,83.14131,1.9051482536448665,85.04645825364487
1.13,2.48,2.34,1.01,0.0,0.0,327.2596,1.9051482536448665,329.16474825364486
1.22,2.29,2.34,1.01,0.0,0.0,86.47391000000002,1.8482836399575129,88.32219363995753
1.22,2.29,2.13,1.01,0.0,0.0,86.47391000000002,1.8482836399575129,88.32219363995753
1.22,2.29,2.13,3.7,0.0,0.0,86.47391000000002,1.8482836399575129,88.32219363995753
0.77,0.21,2.0,0.25,0.0,0.0,82.51777,1.9051482536448665,84.42291825364487
1.14,2.3,1.71,0.21,0.0,0.0,463.01257,1.9051482536448665,464.91771825364486
0.79,1.23,0.52,3.02,0.0,0.0,279.85744,1.4371887851417124,281.2946287851417
0.82,0.21,2.0,0.25,0.0,0.0,82.51679000000001,1.8649066177207416,84.38169661772076
0.82,2.34,2.0,0.25,0.0,0.0,84.90692999999999,1.9051482536448665,86.81207825364486
0.82,2.34,2.94,0.25,0.0,0.0,84.90692999999999,1.9051482536448665,86.81207825364486
0.82,2.34,2.94,1.08,0.0,0.0,84.90692999999999,1.9051482536448665,86.81207825364486
0.7,1.85,1.23,1.38,0.0,0.0,100.00819000000001,1.9051482536448665,101.91333825364488
0.82,1.73,2.84,3.99,0.0,0.0,259.5997,1.8866951493840523,261.486395149384
0.89,0.96,2.84,3.06,0.0,0.0,82.51651,1.9051482536448665,84.42165825364486
1.19,1.87,2.49,3.71,0.0,0.0,339.43826,1.7866188121086974,341.2248788121087
0.26,0.96,2.84,3.06,0.0,0.0,85.62659,1.9051482536448665,87.53173825364486
0.26,1.71,2.84,3.06,0.0,0.0,82.61798,1.7615941559557649,84.37957415595577
0.26,1.71,1.28,3.06,0.0,0.0,82.61798,1.7866188121086974,84.4045988121087
0.26,1.71,1.28,2.92,0.0,0.0,82.61798,1.7866188121086974,84.4045988121087
1.08,0.17,2.95,2.74,0.0,0.0,484.17303000000004,1.9051482536448665,486.0781782536449
0.63,2.11,0.15,0.62,0.0,0.0,264.67294000000004,1.9051482536448665,266.5780882536449
1.07,1.2,0.27,0.95,0.0,0.0,85.24083999999999,1.9051482536448665,87.14598825364486
0.82,1.2,0.27,0.95,0.0,0.0,86.03518,1.9051482536448665,87.94032825364486
0.82,0.37,0.27,0.95,0.0,0.0,82.51544,1.9051482536448665,84.42058825364487
0.82,0.37,0.63,0.95,0.0,0.0,82.51544,1.9051482536448665,84.42058825364487
0.82,0.37,0.63,3.06,0.0,0.0,82.51544,1.8725700114960693,84.38801001149606
1.24,0.79,2.78,0.98,0.0,0.0,85.70553000000001,1.856817601110895,87.5623476011109
1.47,0.53,2.79,0.65,0.0,0.0,82.46888999999999,1.9051482536448665,84.37403825364485
0.16,2.21,1.47,3.05,0.0,0.0,249.33906,1.9051482536448665,251.24420825364484
0.11,0.67,2.14,1.59,0.0,0.0,249.01121,1.9051482536448665,250.91635825364486
0.81,0.53,2.79,0.65,0.0,0.0,84.45375000000001,1.856817601110895,86.3105676011109
0.81,2.35,2.79,0.65,0.0,0.0,85.99912,1.9051482536448665,87.90426825364487
0.81,2.35,2.74,0.65,0.0,0.0,85.99912,1.9051482536448665,87.90426825364487
0.81,2.35,2.74,0.43,0.0,0.0,85.99912,1.9051482536448665,87.90426825364487
0.06,2.13,0.48,0.61,0.0,0.0,84.07068000000001,1.9051482536448665,85.97582825364488
0.34,1.01,1.96,0.37,0.0,0.0,325.84411,1.9051482536448665,327.7492582536449
0.06,1.98,0.48,0.61,0.0,0.0,264.17844,1.8798266996519848,266.058266699652
0.06,2.13,0.91,0.61,0.0,0.0,84.07068000000001,1.9051482536448665,85.97582825364488
0.06,2.13,0.91,1.15,0.0,0.0,84.07068000000001,1.9051482536448665,85.97582825364488
1.32,1.18,0.96,0.27,0.0,0.0,305.62781,1.9051482536448665,307.5329582536449
1.15,0.07,1.61,0.43,0.0,0.0,139.78097,1.9051482536448665,141.68611825364485
