S,P,D,F,rcore_flag,rcore,DeltaE,qmax,Score
1.12,1.04,0.24,1.0,0.0,0.0,0.00527,0.019051482536448665,0.024321482536448665
1.3,0.22,0.36,2.12,0.0,0.0,0.00829,0.018298019099859595,0.026588019099859597
1.06,0.98,2.12,0.39,0.0,0.0,0.00433,0.01761594155955765,0.02194594155955765
0.69,1.42,1.75,1.83,0.0,0.0,0.0011099999999999999,0.019051482536448665,0.020161482536448665
0.6,1.42,1.75,1.83,0.0,0.0,0.0007,0.019051482536448665,0.019751482536448664
0.6,0.2,1.75,1.83,0.0,0.0,0.0007,0.019051482536448665,0.019751482536448664
0.6,0.2,1.61,1.83,0.0,0.0,0.0007,0.019051482536448665,0.019751482536448664
0.6,0.2,1.61,3.91,0.0,0.0,0.0007,0.019051482536448665,0.019751482536448664
0.08,0.58,0.1,0.89,0.0,0.0,0.0001,0.019051482536448665,0.019151482536448664
1.32,1.31,1.25,1.62,0.0,0.0,0.0086,0.015325872861719195,0.023925872861719197
0.14,0.13,0.07,1.45,0.0,0.0,0.0001,0.019051482536448665,0.019151482536448664
1.24,1.72,0.05,2.43,0.0,0.0,0.00713,0.01872570011496069,0.025855700114960693
0.59,1.72,0.05,2.43,0.0,0.0,0.00065,0.019051482536448665,0.019701482536448666
0.59,1.56,0.05,2.43,0.0,0.0,0.00065,0.019051482536448665,0.019701482536448666
0.59,1.56,0.34,2.43,0.0,0.0,0.00065,0.019051482536448665,0.019701482536448666
0.59,1.56,0.34,3.36,0.0,0.0,0.00065,0.019051482536448665,0.019701482536448666
1.3,0.32,0.6,0.62,0.0,0.0,0.00829,0.018866951493840524,0.027156951493840523
0.56,0.08,2.86,1.88,0.0,0.0,0.0005200000000000001,0.018993387348050464,0.019513387348050464
1.44,0.2,0.91,0.29,0.0,0.0,0.011179999999999999,0.01848283639957513,0.029662836399575128
1.12,0.2,0.91,0.29,0.0,0.0,0.00527,0.01872570011496069,0.023995700114960692
1.12,2.18,0.91,0.29,0.0,0.0,0.00527,0.01872570011496069,0.023995700114960692
1.12,2.18,2.2,0.29,0.0,0.0,0.00527,0.019051482536448665,0.024321482536448665
1.12,2.18,2.2,3.65,0.0,0.0,0.00527,0.019051482536448665,0.024321482536448665
0.35,0.37,1.68,0.06,0.0,0.0,20.54334,0.0018993387348050464,20.545239338734806
0.35,0.37,1.68,0.06,0.0,0.0,20.54334,0.0018993387348050464,20.545239338734806
0.35,0.37,1.68,0.06,0.0,0.0,20.54334,0.0018993387348050464,20.545239338734806
0.08,0.58,0.1,0.89,0.0,0.0,0.0001,0.0019051482536448666,0.0020051482536448664
0.0,0.0,0.0,0.0,0.0,0.0,0.00262,0.0019051482536448666,0.004525148253644867
0.0,0.58,0.1,0.89,0.0,0.0,0.00262,0.0019051482536448666,0.004525148253644867
0.0,0.1,0.1,0.1,0.0,0.0,0.00262,0.0019051482536448666,0.004525148253644867
0.0,0.01,0.01,0.01,0.0,0.0,0.00262,0.0019051482536448666,0.004525148253644867
0.01,0.0,0.01,0.01,0.0,0.0,6.000000000000001e-05,0.0019051482536448666,0.0019651482536448667
