S,P,D,F,rcore_flag,rcore,DeltaE,qmax,Score
1.39,0.93,1.68,1.85,0.0,0.0,0.02021,0.0018866951493840523,0.02209669514938405
0.85,0.02,0.27,1.45,0.0,0.0,0.01711,0.0019051482536448666,0.019015148253644868
0.88,1.03,0.29,1.46,0.0,0.0,0.0233,0.0017615941559557648,0.025061594155955765
1.44,2.09,0.2,1.37,0.0,0.0,0.04712000000000001,0.0011549907303716237,0.048274990730371635
1.36,0.51,1.62,0.14,0.0,0.0,0.01701,0.0017744091874342136,0.018784409187434216
1.35,2.02,2.48,3.26,0.0,0.0,0.03575,0.0019051482536448666,0.03765514825364486
0.23,0.35,2.66,0.64,0.0,0.0,0.015549999999999998,0.0018931933404003516,0.01744319334040035
0.1,2.45,1.16,2.23,0.0,0.0,0.07437,0.0017744091874342136,0.07614440918743422
0.21,0.56,1.27,2.89,0.0,0.0,0.01788,0.0019051482536448666,0.019785148253644868
1.43,0.56,1.27,2.89,0.0,0.0,0.01845,0.0017340715196043415,0.020184071519604344
1.43,1.88,1.27,2.89,0.0,0.0,0.046430000000000006,0.0018993387348050464,0.04832933873480505
1.43,1.88,0.66,2.89,0.0,0.0,0.038470000000000004,0.0018993387348050464,0.04036933873480505
1.43,1.88,0.66,1.13,0.0,0.0,0.038470000000000004,0.0018993387348050464,0.04036933873480505
1.16,1.61,0.94,0.76,0.0,0.0,0.01362,0.0019051482536448666,0.015525148253644866
1.47,1.92,0.95,3.56,0.0,0.0,0.04144,0.0014863360172249623,0.04292633601722496
0.01,1.18,2.44,3.06,0.0,0.0,0.02064,0.0019051482536448666,0.022545148253644866
0.63,0.68,1.31,3.78,0.0,0.0,0.06408000000000001,0.0019051482536448666,0.06598514825364488
1.28,0.68,1.31,3.78,0.0,0.0,0.01934,0.0019051482536448666,0.021245148253644867
1.28,1.0,1.31,3.78,0.0,0.0,0.02125,0.0019051482536448666,0.02315514825364487
1.28,1.0,1.43,3.78,0.0,0.0,0.021450000000000004,0.0019051482536448666,0.02335514825364487
1.28,1.0,1.43,0.18,0.0,0.0,0.021450000000000004,0.0019051482536448666,0.02335514825364487
0.52,0.47,0.67,0.43,0.0,0.0,0.0891,0.0019051482536448666,0.09100514825364486
0.0,1.95,0.15,2.91,0.0,0.0,0.024300000000000002,0.0018866951493840523,0.026186695149384053
1.47,1.46,0.28,1.77,0.0,0.0,0.025709999999999997,0.0019051482536448666,0.027615148253644865
0.29,0.85,0.93,3.33,0.0,0.0,0.02194,0.0019051482536448666,0.02384514825364487
0.13,0.85,0.93,3.33,0.0,0.0,0.02194,0.0019051482536448666,0.02384514825364487
0.13,1.3,0.93,3.33,0.0,0.0,0.046000000000000006,0.0019051482536448666,0.04790514825364487
0.13,1.3,1.13,3.33,0.0,0.0,0.01714,0.0019051482536448666,0.019045148253644867
0.13,1.3,1.13,2.52,0.0,0.0,0.01714,0.0019051482536448666,0.019045148253644867
0.49,0.07,0.39,1.78,0.0,0.0,0.08577,0.0019051482536448666,0.08767514825364486
0.48,1.22,1.54,3.12,0.0,0.0,0.11345,0.0019051482536448666,0.11535514825364486
1.44,1.66,2.98,0.72,0.0,0.0,0.028630000000000003,0.0018993387348050464,0.03052933873480505
0.28,2.3,0.32,3.45,0.0,0.0,0.06064,0.001856817601110895,0.06249681760111089
0.25,2.3,0.32,3.45,0.0,0.0,0.06064,0.001856817601110895,0.06249681760111089
0.25,1.16,0.32,3.45,0.0,0.0,0.02092,0.0017193275010198336,0.022639327501019834
0.25,1.16,1.26,3.45,0.0,0.0,0.02095,0.0017193275010198336,0.022669327501019833
0.25,1.16,1.26,2.23,0.0,0.0,0.02095,0.0017193275010198336,0.022669327501019833
0.61,2.01,1.61,1.3,0.0,0.0,0.06591,0.0019051482536448666,0.06781514825364486
0.18,0.77,0.72,1.07,0.0,0.0,0.020640000000000002,0.0019051482536448666,0.02254514825364487
0.75,2.1,2.99,0.34,0.0,0.0,0.03236,0.0018649066177207417,0.03422490661772074
1.14,0.67,2.36,1.7,0.0,0.0,0.01802,0.0019051482536448666,0.01992514825364487
1.31,0.67,2.36,1.7,0.0,0.0,0.01669,0.0019051482536448666,0.018595148253644868
1.31,0.63,2.36,1.7,0.0,0.0,0.016110000000000003,0.0019051482536448666,0.01801514825364487
1.31,0.63,0.07,1.7,0.0,0.0,0.016159999999999997,0.0019051482536448666,0.018065148253644865
1.31,0.63,0.07,0.09,0.0,0.0,0.016159999999999997,0.0019051482536448666,0.018065148253644865
0.85,2.08,2.02,0.5,0.0,0.0,0.02891,0.0018866951493840523,0.030796695149384053
0.57,0.59,2.53,0.91,0.0,0.0,0.13414,0.0018866951493840523,0.13602669514938406
0.25,1.38,0.79,2.46,0.0,0.0,0.01448,0.0019051482536448666,0.016385148253644868
1.4,1.26,2.67,1.61,0.0,0.0,0.02332,0.0018198140120760963,0.025139814012076097
0.27,1.26,2.67,1.61,0.0,0.0,0.01832,0.0019051482536448666,0.020225148253644867
0.27,0.87,2.67,1.61,0.0,0.0,0.022290000000000004,0.0019051482536448666,0.024195148253644872
0.27,0.87,0.62,1.61,0.0,0.0,0.022310000000000003,0.001798242754539887,0.02410824275453989
0.27,0.87,0.62,0.79,0.0,0.0,0.022310000000000003,0.001798242754539887,0.02410824275453989
1.14,1.57,1.38,0.74,0.0,0.0,0.01344,0.0019051482536448666,0.015345148253644867
1.09,0.41,2.84,3.19,0.0,0.0,0.01626,0.0018931933404003516,0.018153193340400352
0.52,0.24,0.37,2.52,0.0,0.0,0.07645000000000002,0.0019051482536448666,0.07835514825364488
0.16,1.37,0.16,1.22,0.0,0.0,0.01513,0.0019051482536448666,0.017035148253644865
0.82,1.37,0.16,1.22,0.0,0.0,0.015499999999999998,0.0019051482536448666,0.017405148253644864
0.82,0.64,0.16,1.22,0.0,0.0,0.021570000000000002,0.0019051482536448666,0.02347514825364487
0.82,0.64,1.19,1.22,0.0,0.0,0.034980000000000004,0.0019051482536448666,0.03688514825364487
0.82,0.64,1.19,2.47,0.0,0.0,0.034980000000000004,0.0019051482536448666,0.03688514825364487
0.87,2.2,2.4,2.74,0.0,0.0,0.042980000000000004,0.0018649066177207417,0.044844906617720746
0.85,2.39,1.65,3.77,0.0,0.0,0.06759,0.001798242754539887,0.06938824275453988
1.46,1.86,1.48,3.18,0.0,0.0,0.034140000000000004,0.0019051482536448666,0.03604514825364487
0.8,0.61,2.58,3.51,0.0,0.0,0.01871,0.0019051482536448666,0.02061514825364487
1.25,0.61,2.58,3.51,0.0,0.0,0.01664,0.0019051482536448666,0.018545148253644866
1.25,1.08,2.58,3.51,0.0,0.0,0.021660000000000006,0.0019051482536448666,0.023565148253644874
1.25,1.08,0.38,3.51,0.0,0.0,0.021670000000000002,0.0019051482536448666,0.02357514825364487
1.25,1.08,0.38,3.93,0.0,0.0,0.021670000000000002,0.0019051482536448666,0.02357514825364487
0.12,0.71,1.24,0.52,0.0,0.0,0.019459999999999998,0.0019051482536448666,0.021365148253644866
0.04,1.36,1.69,2.96,0.0,0.0,0.01511,0.0019051482536448666,0.017015148253644866
0.97,0.4,0.83,2.11,0.0,0.0,0.01665,0.0019051482536448666,0.01855514825364487
0.14,0.2,1.69,2.36,0.0,0.0,0.015070000000000004,0.0019051482536448666,0.01697514825364487
0.02,0.2,1.69,2.36,0.0,0.0,0.015070000000000004,0.0019051482536448666,0.01697514825364487
0.02,1.83,1.69,2.36,0.0,0.0,0.016579999999999998,0.0018993387348050464,0.018479338734805045
0.02,1.83,1.74,2.36,0.0,0.0,0.01604,0.0018993387348050464,0.017939338734805046
0.02,1.83,1.74,1.37,0.0,0.0,0.01604,0.0018993387348050464,0.017939338734805046
0.19,2.45,1.83,2.3,0.0,0.0,0.07445,0.0017866188121086976,0.0762366188121087
1.16,2.31,1.19,0.04,0.0,0.0,0.049929999999999995,0.0019051482536448666,0.05183514825364486
1.2,1.57,0.68,1.62,0.0,0.0,0.01569,0.0019051482536448666,0.017595148253644867
0.53,0.59,2.35,2.04,0.0,0.0,0.09726,0.0019051482536448666,0.09916514825364486
0.11,0.59,2.35,2.04,0.0,0.0,0.03266,0.0019051482536448666,0.034565148253644866
0.11,2.28,2.35,2.04,0.0,0.0,0.05147,0.0018298019099859595,0.05329980190998596
0.11,2.28,2.94,2.04,0.0,0.0,0.05193,0.0018298019099859595,0.05375980190998596
0.11,2.28,2.94,3.4,0.0,0.0,0.05193,0.0018298019099859595,0.05375980190998596
0.11,0.99,1.39,2.85,0.0,0.0,0.023270000000000002,0.0018931933404003516,0.025163193340400354
1.04,0.61,0.17,3.39,0.0,0.0,0.01835,0.0019051482536448666,0.02025514825364487
1.25,1.02,2.82,0.89,0.0,0.0,0.02188,0.0019051482536448666,0.023785148253644868
0.72,1.02,2.82,0.89,0.0,0.0,0.025299999999999996,0.001798242754539887,0.027098242754539884
0.72,0.66,2.82,0.89,0.0,0.0,0.020190000000000003,0.0019051482536448666,0.02209514825364487
0.72,0.66,0.57,0.89,0.0,0.0,0.020390000000000002,0.0019051482536448666,0.02229514825364487
0.72,0.66,0.57,2.99,0.0,0.0,0.020390000000000002,0.0019051482536448666,0.02229514825364487
0.15,0.58,0.17,2.45,0.0,0.0,0.018330000000000003,0.0019051482536448666,0.02023514825364487
0.87,1.11,0.76,2.16,0.0,0.0,0.021779999999999997,0.0017615941559557648,0.02354159415595576
0.5,0.58,1.98,3.6,0.0,0.0,0.10091000000000001,0.0019051482536448666,0.10281514825364488
0.82,2.01,1.57,2.63,0.0,0.0,0.0041,0.0019051482536448666,0.006005148253644867
1.41,2.01,1.57,2.63,0.0,0.0,0.040499999999999994,0.0010312398314460311,0.04153123983144603
1.41,1.95,1.57,2.63,0.0,0.0,0.039599999999999996,0.0018649066177207417,0.04146490661772074
1.41,1.95,2.05,2.63,0.0,0.0,0.040530000000000004,0.0018649066177207417,0.042394906617720746
1.41,1.95,2.05,2.23,0.0,0.0,0.040530000000000004,0.001798242754539887,0.04232824275453989
0.82,0.38,1.26,1.5,0.0,0.0,0.01699,0.0019051482536448666,0.01889514825364487
0.71,1.8,0.93,2.3,0.0,0.0,0.023309999999999997,0.0019051482536448666,0.025215148253644865
0.25,0.71,0.63,2.12,0.0,0.0,0.01955,0.0019051482536448666,0.02145514825364487
0.86,1.34,1.65,2.87,0.0,0.0,0.0164,0.0019051482536448666,0.01830514825364487
0.86,1.09,1.65,2.87,0.0,0.0,0.022330000000000003,0.0017193275010198336,0.024049327501019836
0.86,1.09,0.1,2.87,0.0,0.0,0.022330000000000003,0.0017193275010198336,0.024049327501019836
0.86,1.09,0.1,2.18,0.0,0.0,0.022330000000000003,0.0017193275010198336,0.024049327501019836
0.48,1.67,2.98,0.89,0.0,0.0,0.0606,0.0019051482536448666,0.06250514825364487
1.3,0.23,2.71,2.09,0.0,0.0,0.01706,0.0017866188121086976,0.018846618812108695
0.23,1.43,0.55,2.1,0.0,0.0,0.01335,0.0019051482536448666,0.015255148253644867
0.92,0.25,0.04,2.38,0.0,0.0,0.014559999999999998,0.0019051482536448666,0.016465148253644864
0.81,0.25,0.04,2.38,0.0,0.0,0.01593,0.0019051482536448666,0.017835148253644868
0.81,0.77,0.04,2.38,0.0,0.0,0.020699999999999996,0.0019051482536448666,0.022605148253644864
0.81,0.77,0.02,2.38,0.0,0.0,0.020750000000000005,0.0019051482536448666,0.022655148253644872
0.81,0.77,0.02,0.62,0.0,0.0,0.020750000000000005,0.0019051482536448666,0.022655148253644872
0.74,1.87,0.51,3.6,0.0,0.0,0.01537,0.0019051482536448666,0.017275148253644866
0.94,0.86,2.05,1.33,0.0,0.0,0.022129999999999997,0.0019051482536448666,0.024035148253644865
0.66,1.99,0.71,1.64,0.0,0.0,0.04791999999999999,0.0019051482536448666,0.049825148253644855
0.85,0.68,0.9,2.63,0.0,0.0,0.01906,0.0018993387348050464,0.020959338734805048
0.84,0.68,0.9,2.63,0.0,0.0,0.019339999999999996,0.0018993387348050464,0.021239338734805043
0.84,2.28,0.9,2.63,0.0,0.0,0.05151,0.001856817601110895,0.053366817601110894
0.84,2.28,0.85,2.63,0.0,0.0,0.05209,0.0017744091874342136,0.05386440918743421
0.84,2.28,0.85,0.5,0.0,0.0,0.05209,0.001809301070201781,0.05389930107020178
1.09,1.48,2.17,2.7,0.0,0.0,0.014780000000000001,0.0019051482536448666,0.01668514825364487
0.18,2.19,2.99,1.32,0.0,0.0,0.051269999999999996,0.0018649066177207417,0.05313490661772074
0.06,0.33,2.7,0.66,0.0,0.0,0.016299999999999995,0.0018931933404003516,0.018193193340400347
0.18,1.0,2.26,0.42,0.0,0.0,0.02334,0.0018298019099859595,0.02516980190998596
0.18,0.58,2.26,0.42,0.0,0.0,0.01806,0.0019051482536448666,0.019965148253644868
0.18,0.58,1.12,0.42,0.0,0.0,0.01798,0.0019051482536448666,0.019885148253644867
0.18,0.58,1.12,2.65,0.0,0.0,0.01798,0.0019051482536448666,0.019885148253644867
0.49,0.12,0.14,3.91,0.0,0.0,0.08717,0.0019051482536448666,0.08907514825364486
0.26,1.28,0.82,1.23,0.0,0.0,0.017580000000000002,0.0019051482536448666,0.01948514825364487
1.28,2.32,2.84,2.12,0.0,0.0,0.057139999999999996,0.0014115700556740225,0.05855157005567402
0.83,2.32,2.84,2.12,0.0,0.0,0.05842000000000001,0.001809301070201781,0.06022930107020179
0.83,0.62,2.84,2.12,0.0,0.0,0.01882,0.0019051482536448666,0.020725148253644868
