S,P,D,F,rcore_flag,rcore,DeltaE,qmax,Score
0.98,1.71,2.38,1.07,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,2.78,1.07,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,2.78,2.19,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,0.1,2.19,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,0.1,0.5,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,2.89,0.5,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,2.89,0.05,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,1.24,0.05,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,1.24,2.1,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,1.77,2.1,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,1.77,3.65,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,2.64,3.65,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,2.64,1.83,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,1.48,1.83,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,1.48,3.78,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,0.63,3.78,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,0.63,1.69,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,0.66,1.69,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,0.66,3.76,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,0.14,3.76,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,0.14,3.53,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,2.44,3.53,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,2.44,3.79,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,1.49,3.79,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,1.49,0.13,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
0.98,1.71,0.01,0.13,0.0,0.0,434.478,1.9051482536448665,436.3831482536449
