S,P,D,F,rcore_flag,rcore,DeltaE,qmax,Score
0.74,1.59,0.42,2.54,0.0,0.0,486.77021,1.9051482536448665,488.6753582536449
0.95,2.22,2.13,1.17,0.0,0.0,921.3105299999999,1.8798266996519848,923.1903566996518
1.11,2.46,2.59,1.42,0.0,0.0,454.88214,1.5545997223493822,456.4367397223494
0.26,2.11,2.37,2.19,0.0,0.0,701.5594000000001,1.9051482536448665,703.4645482536449
1.43,2.11,2.37,2.19,0.0,0.0,706.88374,0.08936174054530033,706.9731017405453
1.43,2.47,2.37,2.19,0.0,0.0,700.0723899999999,0.07927767820193998,700.1516676782019
1.43,2.47,2.99,2.19,0.0,0.0,700.0723899999999,0.07465377468825884,700.1470437746882
1.43,2.47,2.99,0.18,0.0,0.0,700.0723899999999,0.4036264445207577,700.4760164445207
0.0,0.55,0.06,3.26,0.0,0.0,498.07081999999997,1.9051482536448665,499.97596825364485
0.08,2.32,0.84,1.83,0.0,0.0,750.6114600000001,1.9051482536448665,752.5166082536449
1.37,2.32,0.33,3.52,0.0,0.0,697.68211,0.641642601649214,698.3237526016492
0.75,0.55,0.06,3.26,0.0,0.0,688.00721,1.9051482536448665,689.9123582536448
0.0,2.01,0.06,3.26,0.0,0.0,809.50332,1.9051482536448665,811.4084682536449
0.0,0.55,1.78,3.26,0.0,0.0,498.07081999999997,1.9051482536448665,499.97596825364485
0.0,0.55,1.78,2.3,0.0,0.0,498.07081999999997,1.9051482536448665,499.97596825364485
0.19,1.13,2.91,0.96,0.0,0.0,713.80344,1.9051482536448665,715.7085882536448
1.07,0.97,2.82,3.34,0.0,0.0,716.3815000000001,1.8392850623555859,718.2207850623556
0.65,0.19,0.95,0.47,0.0,0.0,631.83494,1.9051482536448665,633.7400882536448
0.11,2.16,1.89,3.18,0.0,0.0,701.3522300000001,1.9051482536448665,703.2573782536449
0.9,0.55,1.78,2.3,0.0,0.0,512.8641299999999,1.8093010702017809,514.6734310702017
0.9,2.44,1.78,2.3,0.0,0.0,726.7087799999999,1.9051482536448665,728.6139282536448
0.9,0.55,0.98,2.3,0.0,0.0,512.8641299999999,1.7193275010198334,514.5834575010198
0.9,0.55,0.98,2.04,0.0,0.0,512.8641299999999,1.7193275010198334,514.5834575010198
0.51,1.15,0.58,3.3,0.0,0.0,701.17202,1.8866951493840523,703.058715149384
0.58,1.46,2.15,3.95,0.0,0.0,666.45185,1.9051482536448665,668.3569982536449
0.58,0.23,0.65,3.55,0.0,0.0,765.0247200000001,1.9051482536448665,766.9298682536449
0.26,1.91,2.63,1.29,0.0,0.0,668.39901,1.9051482536448665,670.3041582536448
0.96,0.55,0.98,2.04,0.0,0.0,520.91854,1.8093010702017809,522.7278410702017
0.96,1.12,0.98,2.04,0.0,0.0,889.63327,1.9051482536448665,891.5384182536449
0.96,0.55,2.45,2.04,0.0,0.0,520.91854,1.7340715196043415,522.6526115196043
0.96,0.55,2.45,3.04,0.0,0.0,520.91854,1.7340715196043415,522.6526115196043
0.49,0.25,1.99,0.74,0.0,0.0,677.24948,1.9051482536448665,679.1546282536448
0.94,0.64,2.38,1.08,0.0,0.0,710.9994200000001,1.9051482536448665,712.9045682536449
1.34,0.55,2.45,3.04,0.0,0.0,472.86171,1.8993387348050463,474.76104873480506
1.34,1.35,2.45,3.04,0.0,0.0,459.5913,1.8798266996519848,461.47112669965196
1.34,1.35,0.42,3.04,0.0,0.0,459.5913,1.8866951493840523,461.477995149384
1.34,1.35,0.42,2.66,0.0,0.0,459.5913,1.8866951493840523,461.477995149384
1.35,0.42,2.49,1.29,0.0,0.0,444.01430000000005,1.9051482536448665,445.91944825364493
1.07,1.39,0.97,2.13,0.0,0.0,675.8584300000001,1.856817601110895,677.7152476011111
0.48,1.94,1.75,2.37,0.0,0.0,504.99939000000006,1.9051482536448665,506.90453825364494
0.67,1.45,1.81,1.6,0.0,0.0,802.26391,1.9051482536448665,804.1690582536448
0.27,0.42,2.49,1.29,0.0,0.0,473.14855,1.8198140120760962,474.9683640120761
1.35,1.86,2.49,1.29,0.0,0.0,726.8266,0.2255908125657864,727.0521908125658
1.35,0.42,1.73,1.29,0.0,0.0,444.01430000000005,1.9051482536448665,445.91944825364493
1.35,0.42,1.73,0.15,0.0,0.0,444.01430000000005,1.9051482536448665,445.91944825364493
