S,P,D,F,rcore_flag,rcore,DeltaE,qmax,Score
0.59,2.19,2.68,3.91,0.0,0.0,0.02638,0.0019051482536448666,0.02828514825364487
1.0,0.1,2.11,1.89,0.0,0.0,0.14276,0.0019051482536448666,0.14466514825364488
1.4,0.49,0.47,1.68,0.0,0.0,0.02745,0.0019051482536448666,0.029355148253644867
1.4,0.49,0.42,1.68,0.0,0.0,0.02746,0.0019051482536448666,0.029365148253644866
1.4,0.49,0.42,3.72,0.0,0.0,0.02746,0.0019051482536448666,0.029365148253644866
0.47,0.57,0.85,1.29,0.0,0.0,0.027909999999999997,0.0019051482536448666,0.029815148253644865
0.44,1.75,0.37,2.65,0.0,0.0,0.02711,0.0019051482536448666,0.029015148253644867
1.1,2.31,0.74,3.51,0.0,0.0,0.16147,0.0019051482536448666,0.16337514825364488
1.06,0.99,0.42,1.24,0.0,0.0,0.05806,0.0019051482536448666,0.059965148253644865
1.06,2.3,0.42,1.24,0.0,0.0,0.16511,0.0019051482536448666,0.16701514825364489
1.06,2.3,0.92,1.24,0.0,0.0,0.16536,0.0019051482536448666,0.16726514825364489
1.06,2.3,0.92,2.24,0.0,0.0,0.16536,0.0019051482536448666,0.16726514825364489
0.39,0.07,1.7,3.69,0.0,0.0,0.02746,0.0019051482536448666,0.029365148253644866
1.26,0.43,1.73,1.55,0.0,0.0,0.02886,0.001848283639957513,0.030708283639957513
0.45,0.94,1.03,1.83,0.0,0.0,0.10645,0.0019051482536448666,0.10835514825364487
0.45,2.3,1.03,1.83,0.0,0.0,0.03278,0.0019051482536448666,0.03468514825364486
0.45,2.3,0.37,1.83,0.0,0.0,0.03277,0.0019051482536448666,0.034675148253644865
0.45,2.3,0.37,3.13,0.0,0.0,0.03277,0.0019051482536448666,0.034675148253644865
1.02,2.41,0.08,0.26,0.0,0.0,0.16770000000000002,0.0019051482536448666,0.1696051482536449
0.12,1.51,0.68,0.86,0.0,0.0,0.032339999999999994,0.0019051482536448666,0.03424514825364486
0.61,1.09,2.76,3.91,0.0,0.0,0.08068,0.0019051482536448666,0.08258514825364487
1.47,1.94,2.45,3.37,0.0,0.0,0.02395,0.0019051482536448666,0.025855148253644867
0.61,1.18,0.69,2.46,0.0,0.0,0.10270000000000001,0.0019051482536448666,0.10460514825364488
1.47,2.1,0.06,0.6,0.0,0.0,0.028839999999999998,0.0019051482536448666,0.030745148253644865
0.18,0.37,0.39,0.9,0.0,0.0,0.027919999999999997,0.0019051482536448666,0.029825148253644865
0.35,1.56,2.93,2.59,0.0,0.0,0.025160000000000002,0.0019051482536448666,0.02706514825364487
0.29,1.56,2.93,2.59,0.0,0.0,0.025160000000000002,0.0019051482536448666,0.02706514825364487
0.29,0.47,2.93,2.59,0.0,0.0,0.02289,0.0019051482536448666,0.02479514825364487
0.29,0.47,1.06,2.59,0.0,0.0,0.027909999999999997,0.0019051482536448666,0.029815148253644865
0.29,0.47,1.06,3.43,0.0,0.0,0.027909999999999997,0.0019051482536448666,0.029815148253644865
0.1,2.28,0.76,0.9,0.0,0.0,0.032170000000000004,0.0019051482536448666,0.03407514825364487
0.5,1.94,2.67,4.0,0.0,0.0,0.02312,0.0019051482536448666,0.02502514825364487
1.24,1.99,2.56,1.96,0.0,0.0,0.04016,0.0018866951493840523,0.042046695149384056
0.1,1.99,2.56,1.96,0.0,0.0,0.023960000000000002,0.0019051482536448666,0.02586514825364487
0.1,0.3,2.56,1.96,0.0,0.0,0.024640000000000002,0.0019051482536448666,0.02654514825364487
0.1,0.3,1.47,1.96,0.0,0.0,0.027819999999999998,0.0019051482536448666,0.029725148253644865
0.1,0.3,1.47,2.83,0.0,0.0,0.027819999999999998,0.0019051482536448666,0.029725148253644865
1.15,2.4,0.58,1.64,0.0,0.0,0.14217000000000002,0.0019051482536448666,0.1440751482536449
0.09,1.58,2.3,1.32,0.0,0.0,0.02726,0.0019051482536448666,0.029165148253644867
0.97,1.62,0.87,0.19,0.0,0.0,0.1477,0.0019051482536448666,0.14960514825364488
0.5,1.62,0.87,0.19,0.0,0.0,0.02902,0.0019051482536448666,0.03092514825364487
0.5,2.37,0.87,0.19,0.0,0.0,0.03406,0.0019051482536448666,0.035965148253644864
0.5,2.37,1.61,0.19,0.0,0.0,0.03384,0.0019051482536448666,0.035745148253644866
0.5,2.37,1.61,3.53,0.0,0.0,0.03384,0.0019051482536448666,0.035745148253644866
1.24,1.62,0.83,0.32,0.0,0.0,0.04593,0.0019051482536448666,0.04783514825364486
1.18,1.43,2.15,0.09,0.0,0.0,0.10262,0.0019051482536448666,0.10452514825364487
1.3,1.42,0.3,1.51,0.0,0.0,0.03474,0.0018649066177207417,0.03660490661772074
0.61,2.45,0.07,1.04,0.0,0.0,0.035769999999999996,0.0019051482536448666,0.03767514825364486
1.15,2.45,0.07,1.04,0.0,0.0,0.14415,0.0019051482536448666,0.14605514825364488
1.15,2.45,1.98,1.04,0.0,0.0,0.14227,0.0019051482536448666,0.14417514825364489
1.15,2.45,1.98,0.38,0.0,0.0,0.14227,0.0019051482536448666,0.14417514825364489
0.48,0.46,2.85,1.42,0.0,0.0,0.02331,0.0019051482536448666,0.02521514825364487
0.53,2.04,2.75,1.89,0.0,0.0,0.02366,0.0019051482536448666,0.02556514825364487
0.22,0.46,0.07,0.48,0.0,0.0,0.02789,0.0019051482536448666,0.02979514825364487
0.22,0.62,0.07,0.48,0.0,0.0,0.02789,0.0019051482536448666,0.02979514825364487
0.22,0.62,2.37,0.48,0.0,0.0,0.02527,0.0019051482536448666,0.02717514825364487
0.22,0.62,2.37,0.48,0.0,0.0,0.02527,0.0019051482536448666,0.02717514825364487
1.43,2.33,1.74,3.32,0.0,0.0,0.032659999999999995,0.0019051482536448666,0.03456514825364486
0.42,1.26,1.91,2.99,0.0,0.0,0.06172,0.0018866951493840523,0.06360669514938405
0.4,0.59,1.56,0.73,0.0,0.0,0.027750000000000004,0.0018649066177207417,0.029614906617720746
