S,P,D,F,rcore_flag,rcore,DeltaE,qmax,Score
1.49,1.92,2.16,3.81,0.0,0.0,0.040690000000000004,0.0015758623912857895,0.0422658623912858
1.27,0.4,2.0,0.11,0.0,0.0,0.11101,0.0019051482536448666,0.11291514825364486
1.27,1.33,2.0,0.11,0.0,0.0,0.08041999999999999,0.0019051482536448666,0.08232514825364486
1.27,1.33,0.62,0.11,0.0,0.0,0.08204,0.0019051482536448666,0.08394514825364487
1.27,1.33,0.62,0.95,0.0,0.0,0.08204,0.0019051482536448666,0.08394514825364487
0.12,1.18,2.83,0.16,0.0,0.0,0.10938,0.0019051482536448666,0.11128514825364487
0.09,0.15,2.3,1.63,0.0,0.0,0.04086000000000001,0.0016351489523872874,0.0424951489523873
0.11,1.17,0.82,1.15,0.0,0.0,0.11291,0.0019051482536448666,0.11481514825364486
0.33,1.38,1.68,3.0,0.0,0.0,0.1088,0.0019051482536448666,0.11070514825364486
1.17,1.38,1.68,3.0,0.0,0.0,0.09739999999999999,0.0018993387348050464,0.09929933873480504
1.17,2.05,1.68,3.0,0.0,0.0,0.11993999999999999,0.0019051482536448666,0.12184514825364486
1.17,2.05,0.07,3.0,0.0,0.0,0.1192,0.0019051482536448666,0.12110514825364486
1.17,2.05,0.07,0.63,0.0,0.0,0.1192,0.0019051482536448666,0.12110514825364486
0.37,1.06,2.84,2.48,0.0,0.0,0.15758,0.0019051482536448666,0.15948514825364488
0.09,1.78,2.36,3.29,0.0,0.0,0.04295,0.0019051482536448666,0.044855148253644866
0.65,1.18,1.51,0.51,0.0,0.0,0.11088,0.0019051482536448666,0.11278514825364487
0.65,1.89,1.51,0.51,0.0,0.0,0.042800000000000005,0.0018298019099859595,0.044629801909985965
0.65,1.89,2.78,0.51,0.0,0.0,0.04009,0.0017744091874342136,0.04186440918743421
0.65,1.89,2.78,2.47,0.0,0.0,0.04009,0.0016877902051090853,0.041777790205109085
1.36,0.09,1.69,0.38,0.0,0.0,0.06839999999999999,0.0019051482536448666,0.07030514825364485
0.06,2.26,0.58,3.27,0.0,0.0,0.042219999999999994,0.0017340715196043415,0.043954071519604336
1.38,1.39,0.1,2.64,0.0,0.0,0.06742,0.0019051482536448666,0.06932514825364486
0.22,0.05,2.88,1.5,0.0,0.0,0.03901,0.0016351489523872874,0.04064514895238729
1.36,1.84,0.85,1.02,0.0,0.0,0.07098,0.0018866951493840523,0.07286669514938406
0.2,1.19,2.7,1.03,0.0,0.0,0.10963,0.0019051482536448666,0.11153514825364487
1.16,0.14,0.65,1.01,0.0,0.0,0.12043000000000001,0.0019051482536448666,0.12233514825364487
0.58,0.14,0.65,1.01,0.0,0.0,0.04219,0.0017615941559557648,0.043951594155955766
0.58,0.29,0.65,1.01,0.0,0.0,0.04219,0.0017615941559557648,0.043951594155955766
0.58,0.29,2.24,1.01,0.0,0.0,0.04099,0.0016709670742068737,0.04266096707420687
0.58,0.29,2.24,3.44,0.0,0.0,0.04099,0.0016351489523872874,0.04262514895238729
0.51,2.11,2.11,0.46,0.0,0.0,0.04083,0.0017193275010198336,0.042549327501019835
0.61,0.53,0.7,0.06,0.0,0.0,0.04219,0.001809301070201781,0.04399930107020178
1.19,1.69,1.9,1.24,0.0,0.0,0.13181,0.0018993387348050464,0.13370933873480506
1.24,1.69,1.9,1.24,0.0,0.0,0.12951000000000001,0.0019051482536448666,0.1314151482536449
1.24,2.42,1.9,1.24,0.0,0.0,0.12328,0.0018993387348050464,0.12517933873480505
1.24,2.42,2.15,1.24,0.0,0.0,0.12198,0.0018931933404003516,0.12387319334040035
1.24,2.42,2.15,3.65,0.0,0.0,0.12198,0.0018866951493840523,0.12386669514938406
0.45,1.84,2.58,3.28,0.0,0.0,0.041639999999999996,0.0018298019099859595,0.04346980190998596
1.23,0.21,0.31,2.02,0.0,0.0,0.12108000000000001,0.0019051482536448666,0.12298514825364487
0.58,2.02,2.3,2.28,0.0,0.0,0.04056,0.0016351489523872874,0.04219514895238729
