directory,distance,energy
AT1,0.9430625875851701,-3869.287457
AT2,1.100470263709111,-3952.196537
AT3,1.2579050845662447,-3980.75814
AT4,1.4153579919976667,-3991.756399
AT5,1.572823554156718,-3996.150479
AT6,1.730298316121564,-3998.025702
AT7,1.887779975606404,-3998.917612
AT8,2.045266939324146,-3999.353632
AT9,2.202758069591086,-3999.40881
AT10,2.3602525323510157,-3999.372645
AT11,2.5177497022250965,-3999.385367
AT12,2.675249101093988,-3999.341683
AT13,2.83275035716497,-3999.197434
AT14,2.990253176972944,-3999.099956
AT15,3.1477573257860505,-3999.120156
AT16,3.3052626136128977,-3999.04502
AT17,3.4627688850281397,-3998.942769
AT18,3.6202760116537145,-3998.899616
AT19,3.7777838865207842,-3998.950238
AT20,3.935292419785508,-3998.86435
AT21,4.092801535434002,-3998.805897
AT22,4.250311168719887,-3998.811819
AT23,4.407821264151208,-3998.855943
AT24,4.5653317738940435,-3998.764158
AT25,4.722842656495552,-3998.738537
AT26,4.880353875854274,-3998.783953
AT27,5.037865400383596,-3998.79715
AT28,5.195377202327367,-3998.714335
AT29,5.352889257196355,-3998.712199
AT30,5.510401543301342,-3998.781388
AT31,5.667914041364065,-3998.751581
AT32,5.825426734191279,-3998.692699
AT33,5.982939606400309,-3998.709742
AT34,6.140452644186821,-3998.781579
AT35,6.297965835127466,-3998.712122
AT36,6.455479168011399,-3998.685599
AT37,6.612992632695876,-3998.722395
AT38,6.770506219982016,-3998.774247
AT39,6.928019921507504,-3998.681347
AT40,7.0855337296536085,-3998.686604
