rs,rp,rd,rf,r_core_flag,rcore,DeltaE,DeltaEig,hardness,score
1.77751,0.60118,2.23670,0.00000,1.00000,0.00000,0.03241,0.04566,0.05768,0.13575071
0.16866,1.40926,1.12785,0.00000,1.00000,0.00000,0.00935,0.01576,0.02266,0.04776624
2.01355,0.80206,2.97274,0.00000,1.00000,0.00000,0.05113,0.07080,0.02248,0.14440970
1.53664,0.86591,2.03659,0.00000,1.00000,0.00000,0.01833,0.02693,0.04474,0.08999682
1.20559,0.86591,2.03659,0.00000,1.00000,0.00000,0.00815,0.01329,0.06709,0.08852903
1.20559,0.78149,2.03659,0.00000,1.00000,0.00000,0.00805,0.01306,0.06709,0.08819825
1.20559,0.78149,2.02205,0.00000,1.00000,0.00000,0.00805,0.01306,0.06709,0.08819825
1.30036,1.81607,1.11681,0.00000,1.00000,0.00000,0.01771,0.02980,0.00248,0.04999563
0.07879,2.59450,1.39524,0.00000,1.00000,0.00000,0.05888,0.10146,0.00747,0.16781580
0.94119,1.45690,1.21123,0.00000,1.00000,0.00000,0.00966,0.01630,0.06709,0.09304439
1.08124,1.45690,1.21123,0.00000,1.00000,0.00000,0.00925,0.01567,0.06709,0.09200377
1.08124,1.52181,1.21123,0.00000,1.00000,0.00000,0.00967,0.01632,0.06709,0.09307211
1.08124,1.52181,0.36319,0.00000,1.00000,0.00000,0.00967,0.01632,0.06709,0.09307211
1.33389,1.03326,0.61875,0.00000,1.00000,0.00000,0.01139,0.01812,0.02731,0.05681382
0.83050,1.05166,2.26614,0.00000,1.00000,0.00000,0.01114,0.01862,0.04472,0.07448236
2.09839,0.31955,1.30763,0.00000,1.00000,0.00000,0.05777,0.08093,0.06709,0.20578721
2.34590,0.31955,1.30763,0.00000,1.00000,0.00000,0.07951,0.10851,0.06709,0.25510685
2.34590,0.78308,1.30763,0.00000,1.00000,0.00000,0.07811,0.10715,0.02383,0.20909637
2.34590,0.78308,2.46472,0.00000,1.00000,0.00000,0.07811,0.10715,0.02246,0.20772693
1.19140,0.57539,0.81021,0.00000,1.00000,0.00000,0.00786,0.01271,0.05768,0.07825023
1.14074,1.98133,1.71615,0.00000,1.00000,0.00000,0.01831,0.03533,0.01295,0.06658928
2.13422,1.98133,1.71615,0.00000,1.00000,0.00000,0.07228,0.10752,0.00000,0.17979914
2.13422,1.58567,1.71615,0.00000,1.00000,0.00000,0.06532,0.09262,0.00003,0.15797281
2.13422,1.58567,0.06974,0.00000,1.00000,0.00000,0.06532,0.09262,0.02239,0.18033478
2.05099,2.73172,2.98651,0.00000,1.00000,0.00000,0.11686,0.18418,0.00000,0.30103792
0.79238,2.23323,2.25843,0.00000,1.00000,0.00000,0.02890,0.05436,0.02520,0.10846475
0.02475,1.96560,1.99080,0.00000,1.00000,0.00000,0.01763,0.03377,0.01295,0.06435340
2.47002,0.19642,1.31066,0.00000,1.00000,0.00000,0.09002,0.12033,0.06709,0.27743273
0.67719,2.71368,0.91168,0.00000,1.00000,0.00000,0.06834,0.13051,0.06709,0.26593259
1.29733,2.71368,0.91168,0.00000,1.00000,0.00000,0.07358,0.12786,0.02666,0.22810212
1.29733,2.54970,0.91168,0.00000,1.00000,0.00000,0.05548,0.09946,0.02666,0.18160600
1.29733,2.54970,1.28578,0.00000,1.00000,0.00000,0.05548,0.09946,0.00432,0.15926074
0.72339,0.37125,2.27132,0.00000,1.00000,0.00000,0.01897,0.03031,0.06709,0.11636901
1.24030,0.88815,1.93700,0.00000,1.00000,0.00000,0.00875,0.01407,0.05220,0.07501541
2.35563,1.07452,0.43023,0.00000,1.00000,0.00000,0.07847,0.10694,0.04472,0.23013498
2.14436,1.07452,0.43023,0.00000,1.00000,0.00000,0.06263,0.08564,0.04472,0.19299879
2.14436,2.66634,0.43023,0.00000,1.00000,0.00000,0.11857,0.18426,0.02236,0.32519521
2.14436,2.66634,3.27854,0.00000,1.00000,0.00000,0.11857,0.18426,0.00000,0.30283324
1.45229,0.25854,3.22394,0.00000,1.00000,0.00000,0.01547,0.02261,0.06709,0.10516469
2.26425,1.46496,1.53590,0.00000,1.00000,0.00000,0.07334,0.10114,0.00247,0.17695256
1.02090,0.25445,1.43676,0.00000,1.00000,0.00000,0.00810,0.01253,0.02241,0.04304231
0.31872,0.25445,1.43676,0.00000,1.00000,0.00000,0.00851,0.01307,0.03540,0.05697946
0.31872,2.87024,1.43676,0.00000,1.00000,0.00000,0.09180,0.15300,0.00747,0.25227330
0.31872,2.87024,0.13512,0.00000,1.00000,0.00000,0.09180,0.15300,0.02984,0.27463527
2.22763,0.03481,0.48557,0.00000,1.00000,0.00000,0.07259,0.09790,0.06709,0.23757565
1.92016,1.53346,1.14655,0.00000,1.00000,0.00000,0.04622,0.06831,0.00169,0.11622054
2.18896,2.63105,0.15443,0.00000,1.00000,0.00000,0.11983,0.18488,0.02236,0.32707629
