rs,rp,rd,rf,r_core_flag,rcore,DeltaE,DeltaEig,hardness,score
2.31249,0.00000,1.00000,1.00000,1.00000,0.00000,0.03708,0.04797,0.00000,0.08505404
2.35597,0.00000,1.00000,1.00000,1.00000,0.00000,0.03863,0.04972,0.00000,0.08834966
1.15530,0.00000,1.00000,1.00000,1.00000,0.00000,0.00208,0.00356,0.00000,0.00564166
2.06002,0.00000,1.00000,1.00000,1.00000,0.00000,0.02412,0.03291,0.00000,0.05702980
2.34010,0.00000,1.00000,1.00000,1.00000,0.00000,0.03863,0.04972,0.00000,0.08834966
1.65304,0.00000,1.00000,1.00000,1.00000,0.00000,0.01063,0.01607,0.00000,0.02670372
2.01693,0.00000,1.00000,1.00000,1.00000,0.00000,0.02307,0.03168,0.00000,0.05475224
1.82798,0.00000,1.00000,1.00000,1.00000,0.00000,0.01583,0.02272,0.00000,0.03855104
0.71074,0.00000,1.00000,1.00000,1.00000,0.00000,0.00007,0.00045,0.00000,0.00051786
0.65201,0.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.00035,0.00000,0.00034836
0.92629,0.00000,1.00000,1.00000,1.00000,0.00000,0.00071,0.00137,0.00000,0.00208152
1.26346,0.00000,1.00000,1.00000,1.00000,0.00000,0.00318,0.00524,0.00000,0.00842196
0.60441,0.00000,1.00000,1.00000,1.00000,0.00000,0.00007,0.00028,0.00000,0.00034928
1.92972,0.00000,1.00000,1.00000,1.00000,0.00000,0.01918,0.02690,0.00000,0.04607816
1.72381,0.00000,1.00000,1.00000,1.00000,0.00000,0.01238,0.01832,0.00000,0.03069844
2.49137,0.00000,1.00000,1.00000,1.00000,0.00000,0.04707,0.05944,0.00000,0.10651496
1.00458,0.00000,1.00000,1.00000,1.00000,0.00000,0.00104,0.00192,0.00000,0.00295812
1.78002,0.00000,1.00000,1.00000,1.00000,0.00000,0.01439,0.02086,0.00000,0.03524764
1.44739,0.00000,1.00000,1.00000,1.00000,0.00000,0.00596,0.00938,0.00000,0.01533664
0.91467,0.00000,1.00000,1.00000,1.00000,0.00000,0.00065,0.00130,0.00000,0.00194774
0.00484,0.00000,1.00000,1.00000,1.00000,0.00000,0.00007,0.00013,0.00000,0.00019562
2.49926,0.00000,1.00000,1.00000,1.00000,0.00000,0.04707,0.05944,0.00000,0.10651496
1.09498,0.00000,1.00000,1.00000,1.00000,0.00000,0.00163,0.00285,0.00000,0.00447594
1.76280,0.00000,1.00000,1.00000,1.00000,0.00000,0.01368,0.01998,0.00000,0.03365796
1.79374,0.00000,1.00000,1.00000,1.00000,0.00000,0.01439,0.02086,0.00000,0.03524764
0.80950,0.00000,1.00000,1.00000,1.00000,0.00000,0.00027,0.00076,0.00000,0.00103010
2.44760,0.00000,1.00000,1.00000,1.00000,0.00000,0.04356,0.05539,0.00000,0.09895438
0.88533,0.00000,1.00000,1.00000,1.00000,0.00000,0.00051,0.00110,0.00000,0.00161118
1.48616,0.00000,1.00000,1.00000,1.00000,0.00000,0.00661,0.01038,0.00000,0.01698880
0.23845,0.00000,1.00000,1.00000,1.00000,0.00000,0.00014,0.00011,0.00000,0.00025250
