rs,rp,rd,rf,r_core_flag,rcore,DeltaE,DeltaEig,hardness,score
2.20859,0.14211,2.32098,0.00000,1.00000,0.00000,0.04753,0.06253,0.06709,0.17714434
1.23840,1.17192,2.85080,0.00000,1.00000,0.00000,0.00772,0.01054,0.02666,0.04492590
0.77119,0.20472,0.01847,0.00000,1.00000,0.00000,0.00424,0.00722,0.06709,0.07854386
1.04187,0.47539,3.28914,0.00000,1.00000,0.00000,0.00286,0.00512,0.05768,0.06565761
0.64338,0.47539,3.28914,0.00000,1.00000,0.00000,0.00765,0.00860,0.06709,0.08333184
0.64338,1.95741,3.28914,0.00000,1.00000,0.00000,0.01263,0.02548,0.04519,0.08330376
0.64338,1.95741,0.89752,0.00000,1.00000,0.00000,0.01263,0.02548,0.04473,0.08283761
2.16693,0.19386,1.13397,0.00000,1.00000,0.00000,0.04537,0.06019,0.06709,0.17264887
0.94727,2.47421,2.41431,0.00000,1.00000,0.00000,0.03891,0.07218,0.02238,0.13346737
1.40709,0.43402,1.72271,0.00000,1.00000,0.00000,0.01155,0.01586,0.06709,0.09449337
1.77634,0.43402,1.72271,0.00000,1.00000,0.00000,0.02764,0.03686,0.06709,0.13158300
1.77634,2.87153,1.72271,0.00000,1.00000,0.00000,0.11012,0.16736,0.00000,0.27748266
1.77634,2.87153,1.09509,0.00000,1.00000,0.00000,0.11012,0.16736,0.00002,0.27749936
2.32767,0.61594,2.83949,0.00000,1.00000,0.00000,0.04753,0.06106,0.06709,0.17567338
0.69034,1.97860,1.16459,0.00000,1.00000,0.00000,0.01237,0.02793,0.02247,0.06276604
2.49700,2.53616,3.32457,0.00000,1.00000,0.00000,0.09194,0.13648,0.00000,0.22842035
0.68115,2.53616,3.32457,0.00000,1.00000,0.00000,0.04101,0.07922,0.06709,0.18731182
0.68115,2.47852,3.32457,0.00000,1.00000,0.00000,0.03517,0.07123,0.06709,0.17348985
0.68115,2.47852,0.81161,0.00000,1.00000,0.00000,0.03517,0.07123,0.06709,0.17348985
2.39379,0.19116,2.83587,0.00000,1.00000,0.00000,0.04893,0.06434,0.06709,0.18035095
0.19067,1.92606,2.07078,0.00000,1.00000,0.00000,0.00894,0.02508,0.02460,0.05862181
