rs,rp,rd,rf,r_core_flag,rcore,DeltaE,DeltaEig,hardness,score
1.75726,1.51238,1.11350,0.00000,1.00000,0.00000,0.06035,0.09225,0.00794,0.16054347
1.06283,1.31795,2.41907,0.00000,1.00000,0.00000,0.01111,0.02022,0.02378,0.05511284
0.00728,1.31795,2.41907,0.00000,1.00000,0.00000,0.00449,0.01234,0.02286,0.03968494
0.00728,0.71904,2.41907,0.00000,1.00000,0.00000,0.00272,0.00458,0.03537,0.04267029
0.00728,0.71904,1.67129,0.00000,1.00000,0.00000,0.00272,0.00458,0.03547,0.04277365
0.44575,2.92837,0.83050,0.00000,1.00000,0.00000,0.22957,0.37136,0.06709,0.66801815
1.07944,0.39412,0.96419,0.00000,1.00000,0.00000,0.00841,0.01524,0.06709,0.09074056
1.36063,0.67531,3.18909,0.00000,1.00000,0.00000,0.02600,0.04096,0.06709,0.13404534
0.74142,0.67531,3.18909,0.00000,1.00000,0.00000,0.00225,0.00431,0.04488,0.05143605
0.74142,2.92459,3.18909,0.00000,1.00000,0.00000,0.22755,0.35982,0.02236,0.60972898
0.74142,2.92459,3.46824,0.00000,1.00000,0.00000,0.22755,0.35982,0.02236,0.60972898
1.12925,2.06092,2.60457,0.00000,1.00000,0.00000,0.03430,0.09866,0.01295,0.14591390
2.39373,2.82539,0.42440,0.00000,1.00000,0.00000,0.25012,0.37964,0.02236,0.65211921
1.76712,1.48894,0.42578,0.00000,1.00000,0.00000,0.06017,0.09196,0.02318,0.17530274
2.29144,1.48894,0.42578,0.00000,1.00000,0.00000,0.06193,0.09515,0.02318,0.18025532
2.29144,2.34131,0.42578,0.00000,1.00000,0.00000,0.13332,0.21672,0.02236,0.37239982
2.29144,2.34131,2.97413,0.00000,1.00000,0.00000,0.13332,0.21672,0.00000,0.35003785
1.13543,2.93817,1.07099,0.00000,1.00000,0.00000,0.23447,0.37127,0.01298,0.61872128
1.57491,1.28630,2.08151,0.00000,1.00000,0.00000,0.04403,0.06886,0.00247,0.11536550
2.33996,2.05136,2.61449,0.00000,1.00000,0.00000,0.07726,0.13925,0.00000,0.21650837
0.01561,2.05136,2.61449,0.00000,1.00000,0.00000,0.02813,0.08701,0.06709,0.18222620
0.01561,1.27541,2.61449,0.00000,1.00000,0.00000,0.00448,0.01102,0.02510,0.04060403
0.01561,1.27541,1.58931,0.00000,1.00000,0.00000,0.00448,0.01102,0.02290,0.03839995
1.78753,1.04733,2.18858,0.00000,1.00000,0.00000,0.06048,0.09093,0.02260,0.17401293
1.47442,2.23422,0.41707,0.00000,1.00000,0.00000,0.08118,0.14886,0.02236,0.25239989
0.09668,0.35647,0.03932,0.00000,1.00000,0.00000,0.00323,0.00746,0.06709,0.07777756
0.09270,0.35647,0.03932,0.00000,1.00000,0.00000,0.00323,0.00746,0.06709,0.07777756
0.09270,1.07851,0.03932,0.00000,1.00000,0.00000,0.00440,0.00749,0.06709,0.07897544
0.09270,1.07851,1.60149,0.00000,1.00000,0.00000,0.00440,0.00749,0.06709,0.07897544
1.12016,0.33948,3.19163,0.00000,1.00000,0.00000,0.01060,0.01874,0.06709,0.09642449
1.05254,0.38650,2.62401,0.00000,1.00000,0.00000,0.00734,0.01382,0.06709,0.08824139
1.83995,1.66713,3.35250,0.00000,1.00000,0.00000,0.06842,0.10757,0.00001,0.17599471
2.08251,1.66713,3.35250,0.00000,1.00000,0.00000,0.07379,0.11530,0.00001,0.18909513
2.08251,2.72302,3.35250,0.00000,1.00000,0.00000,0.24313,0.36473,0.00000,0.60786176
2.08251,2.72302,2.13986,0.00000,1.00000,0.00000,0.24313,0.36473,0.00000,0.60786176
2.07942,0.60531,1.51748,0.00000,1.00000,0.00000,0.07032,0.10399,0.06709,0.24139994
0.50151,0.52739,2.56082,0.00000,1.00000,0.00000,0.01770,0.02124,0.04472,0.08366887
1.70685,0.52230,2.68762,0.00000,1.00000,0.00000,0.05576,0.08402,0.06709,0.20686445
2.02572,0.52230,2.68762,0.00000,1.00000,0.00000,0.07033,0.10456,0.06709,0.24197543
2.02572,1.81772,2.68762,0.00000,1.00000,0.00000,0.07847,0.12882,0.00000,0.20729385
2.02572,1.81772,0.18873,0.00000,1.00000,0.00000,0.07847,0.12882,0.02236,0.22965582
1.49277,1.01119,2.65579,0.00000,1.00000,0.00000,0.03697,0.05786,0.01464,0.10946769
2.39258,1.84269,1.05559,0.00000,1.00000,0.00000,0.05734,0.10209,0.00000,0.15942989
2.39274,1.84269,1.05559,0.00000,1.00000,0.00000,0.05734,0.10209,0.00000,0.15942989
2.39274,2.53452,1.05559,0.00000,1.00000,0.00000,0.16122,0.25873,0.00000,0.41995445
2.39274,2.53452,0.17931,0.00000,1.00000,0.00000,0.16122,0.25873,0.02236,0.44231622
1.79381,1.66604,1.53775,0.00000,1.00000,0.00000,0.06575,0.10370,0.00001,0.16945275
1.90522,2.13020,1.80951,0.00000,1.00000,0.00000,0.10095,0.16980,0.00000,0.27074714
1.85466,1.05392,0.33263,0.00000,1.00000,0.00000,0.06463,0.09650,0.04488,0.20600507
1.02987,1.05392,0.33263,0.00000,1.00000,0.00000,0.00823,0.01238,0.05220,0.07280911
1.02987,0.61866,0.33263,0.00000,1.00000,0.00000,0.00559,0.01092,0.06709,0.08359129
1.02987,0.61866,0.96737,0.00000,1.00000,0.00000,0.00559,0.01092,0.06709,0.08359129
2.25757,0.09796,3.32840,0.00000,1.00000,0.00000,0.06957,0.10343,0.06709,0.24008941
0.20580,0.98904,0.02702,0.00000,1.00000,0.00000,0.00409,0.00651,0.04903,0.05962652
1.81140,0.14429,2.68204,0.00000,1.00000,0.00000,0.06679,0.10005,0.06709,0.23392922
0.66050,0.14429,2.68204,0.00000,1.00000,0.00000,0.00949,0.01590,0.06709,0.09247391
0.66050,0.57437,2.68204,0.00000,1.00000,0.00000,0.00204,0.00512,0.05768,0.06483701
0.66050,0.57437,3.05758,0.00000,1.00000,0.00000,0.00204,0.00512,0.05768,0.06483701
2.01453,2.56717,2.59230,0.00000,1.00000,0.00000,0.19565,0.30031,0.00000,0.49596385
2.49571,2.81651,3.43560,0.00000,1.00000,0.00000,0.23402,0.36169,0.00000,0.59571438
0.49568,1.44163,0.55703,0.00000,1.00000,0.00000,0.03330,0.03745,0.03414,0.10488243
2.29810,1.44163,0.55703,0.00000,1.00000,0.00000,0.06151,0.09442,0.01495,0.17087982
2.29810,2.86614,0.55703,0.00000,1.00000,0.00000,0.27718,0.41256,0.00747,0.69721581
2.29810,2.86614,1.15728,0.00000,1.00000,0.00000,0.27718,0.41256,0.00000,0.68974290
1.07391,2.07300,1.93309,0.00000,1.00000,0.00000,0.03189,0.09683,0.02236,0.15108341
2.22201,2.32906,0.88819,0.00000,1.00000,0.00000,0.13813,0.22239,0.00082,0.36133761
0.08315,2.18808,2.04588,0.00000,1.00000,0.00000,0.04792,0.11890,0.04903,0.21584200
2.46360,2.18808,2.04588,0.00000,1.00000,0.00000,0.08284,0.15156,0.00000,0.23440021
2.46360,0.62461,2.04588,0.00000,1.00000,0.00000,0.03946,0.06532,0.06709,0.17186514
2.46360,0.62461,2.52131,0.00000,1.00000,0.00000,0.03946,0.06532,0.06709,0.17186514
1.61034,0.01062,1.59344,0.00000,1.00000,0.00000,0.05542,0.08180,0.06709,0.20431057
1.35810,2.26896,0.27374,0.00000,1.00000,0.00000,0.07401,0.14745,0.02236,0.24382309
0.08490,2.72749,0.56461,0.00000,1.00000,0.00000,0.16104,0.26488,0.04472,0.47064425
1.62830,2.72749,0.56461,0.00000,1.00000,0.00000,0.21635,0.33338,0.02236,0.57209567
1.62830,0.70855,0.56461,0.00000,1.00000,0.00000,0.04877,0.07336,0.06709,0.18921421
1.62830,0.70855,2.16360,0.00000,1.00000,0.00000,0.04877,0.07336,0.06709,0.18921421
1.14783,0.74298,3.18314,0.00000,1.00000,0.00000,0.01090,0.01885,0.05220,0.08194398
0.42618,0.19388,1.64500,0.00000,1.00000,0.00000,0.03780,0.04972,0.06709,0.15460475
2.19387,1.75331,1.78585,0.00000,1.00000,0.00000,0.07242,0.11707,0.00000,0.18948925
0.10586,1.75331,1.78585,0.00000,1.00000,0.00000,0.00808,0.04473,0.06709,0.11989285
0.10586,2.94237,1.78585,0.00000,1.00000,0.00000,0.22744,0.36000,0.02236,0.60979950
0.10586,2.94237,1.94264,0.00000,1.00000,0.00000,0.22744,0.36000,0.02236,0.60979950
2.47712,0.01581,3.25381,0.00000,1.00000,0.00000,0.04761,0.07586,0.06709,0.19055834
1.77629,1.63941,2.66891,0.00000,1.00000,0.00000,0.06347,0.09899,0.00002,0.16247535
2.38291,2.67350,3.29875,0.00000,1.00000,0.00000,0.21096,0.32580,0.00000,0.53675828
0.01605,2.67350,3.29875,0.00000,1.00000,0.00000,0.15147,0.25085,0.02236,0.42468407
0.01605,1.87266,3.29875,0.00000,1.00000,0.00000,0.01355,0.05934,0.05768,0.13056350
0.01605,1.87266,3.26085,0.00000,1.00000,0.00000,0.01355,0.05934,0.05768,0.13056350
