rs,rp,rd,rf,r_core_flag,rcore,DeltaE,DeltaEig,hardness,score
1.22233,1.15568,1.17426,0.00000,1.00000,0.05909,0.00559,0.01384,0.06709,0.08651851
1.09088,2.80454,2.04281,0.00000,1.00000,1.70796,0.01245,0.02011,0.02236,0.05492431
0.16786,2.88152,0.88528,0.00000,1.00000,1.78494,0.00296,0.00795,0.00247,0.01338474
2.18527,0.39894,2.55736,0.00000,1.00000,2.30235,0.02729,0.03434,0.00000,0.06163022
2.47829,0.39894,2.55736,0.00000,1.00000,2.30235,0.05483,0.06891,0.00000,0.12374202
2.47829,2.64997,2.55736,0.00000,1.00000,2.30235,0.05363,0.06890,0.00000,0.12252654
2.47829,2.64997,1.83001,0.00000,1.00000,2.30235,0.05382,0.06898,0.00000,0.12280206
2.47829,2.64997,1.83001,0.00000,1.00000,1.35134,0.05803,0.07210,0.00000,0.13013450
1.03000,1.20169,0.88172,0.00000,1.00000,2.23105,0.01697,0.03302,0.06709,0.11707155
1.51352,1.69692,1.86524,0.00000,1.00000,2.72628,0.00417,0.00606,0.00000,0.01022794
1.24417,2.42757,1.59589,0.00000,1.00000,2.00309,0.00519,0.01033,0.02236,0.03788095
1.53165,2.08653,1.14984,0.00000,1.00000,0.95946,0.00402,0.00840,0.00301,0.01542967
1.53165,2.08653,1.17233,0.00000,1.00000,0.95946,0.00402,0.00840,0.02290,0.03531902
1.53165,2.08653,1.17233,0.00000,1.00000,0.46698,0.00417,0.00843,0.02278,0.03538049
1.31759,1.01194,1.96390,0.00000,1.00000,0.91095,0.00636,0.01716,0.03613,0.05965440
1.78058,2.47492,2.09098,0.00000,1.00000,1.43085,0.00599,0.01160,0.00000,0.01759164
0.45058,2.47492,2.09098,0.00000,1.00000,1.43085,0.00280,0.00822,0.00000,0.01102268
0.45058,1.77460,2.09098,0.00000,1.00000,1.43085,0.00417,0.00836,0.00000,0.01253202
0.45058,1.77460,2.79386,0.00000,1.00000,1.43085,0.00437,0.00827,0.00000,0.01263882
0.45058,1.77460,2.79386,0.00000,1.00000,2.73946,0.00459,0.00598,0.00000,0.01057074
0.26817,1.63430,2.65356,0.00000,1.00000,2.59915,0.00424,0.00619,0.00000,0.01042546
0.36082,2.98865,0.74620,0.00000,1.00000,0.40740,0.00321,0.00842,0.02263,0.03426391
0.54222,2.80423,2.89881,0.00000,1.00000,1.89955,0.00344,0.00857,0.00000,0.01200712
1.31329,1.40021,3.47333,0.00000,1.00000,2.95853,0.00839,0.01177,0.02984,0.04999442
2.43272,1.40021,3.47333,0.00000,1.00000,2.95853,0.04751,0.05671,0.02236,0.12658107
2.43272,1.16546,3.47333,0.00000,1.00000,2.95853,0.04001,0.05458,0.02283,0.11742401
2.43272,1.16546,3.08559,0.00000,1.00000,2.95853,0.03754,0.05516,0.02330,0.11599832
2.43272,1.16546,3.08559,0.00000,1.00000,2.62492,0.03931,0.05650,0.02236,0.11817213
