rs,rp,rd,rf,r_core_flag,rcore,DeltaE,DeltaEig,hardness,score
0.55072,1.30836,1.24688,0.00000,1.00000,2.76319,0.00953,0.01044,0.03532,0.05528100
2.48898,2.34956,3.28808,0.00000,1.00000,2.70145,0.04402,0.03729,0.00000,0.08130803
0.37788,1.23845,2.05965,0.00000,1.00000,2.97302,0.01732,0.01455,0.06709,0.09895758
2.20865,1.50876,3.02317,0.00000,1.00000,2.46678,0.01750,0.01654,0.02236,0.05639842
1.76690,2.28348,2.29790,0.00000,1.00000,0.24150,0.00789,0.00812,0.06709,0.08309421
1.16467,2.68125,0.70640,0.00000,1.00000,1.25041,0.02434,0.02539,0.03547,0.08520310
0.53241,2.68125,0.70640,0.00000,1.00000,1.25041,0.00558,0.00850,0.01326,0.02733996
0.53241,0.04862,0.70640,0.00000,1.00000,1.25041,0.00791,0.00813,0.01326,0.02929729
0.53241,0.04862,1.00688,0.00000,1.00000,1.25041,0.00791,0.00813,0.00778,0.02381707
0.53241,0.04862,1.00688,0.00000,1.00000,2.42535,0.00505,0.00600,0.01295,0.02400139
1.63519,2.69823,2.15346,0.00000,1.00000,1.87795,0.00549,0.00930,0.00000,0.01478777
1.35913,2.35651,1.35566,0.00000,1.00000,1.53623,0.01031,0.01123,0.02283,0.04437337
0.39990,1.27420,3.39643,0.00000,1.00000,1.86076,0.00700,0.01241,0.02236,0.04176929
0.22355,0.09468,2.72008,0.00000,1.00000,0.68124,0.00829,0.00823,0.00069,0.01720891
1.86841,0.09468,2.72008,0.00000,1.00000,0.68124,0.01028,0.00983,0.00058,0.02068640
1.86841,1.99132,2.72008,0.00000,1.00000,0.68124,0.01028,0.00983,0.00058,0.02068640
1.86841,1.99132,2.97539,0.00000,1.00000,0.68124,0.01028,0.00983,0.00058,0.02068640
1.86841,1.99132,2.97539,0.00000,1.00000,1.79039,0.00854,0.00927,0.00000,0.01781025
1.90123,2.47755,3.00821,0.00000,1.00000,2.32320,0.00667,0.00816,0.00000,0.01483352
0.30552,1.36960,1.21895,0.00000,1.00000,2.03394,0.00639,0.01104,0.04472,0.06215846
1.47401,0.67247,2.57600,0.00000,1.00000,2.89099,0.00565,0.00549,0.00247,0.01361266
0.62308,0.67247,2.57600,0.00000,1.00000,2.89099,0.00407,0.00447,0.00000,0.00853521
0.62308,0.17056,2.57600,0.00000,1.00000,2.89099,0.00407,0.00447,0.00000,0.00853521
0.62308,0.17056,2.04692,0.00000,1.00000,2.89099,0.00407,0.00447,0.00000,0.00853521
0.62308,0.17056,2.04692,0.00000,1.00000,2.43417,0.00505,0.00600,0.00000,0.01104766
0.23684,2.17127,1.26100,0.00000,1.00000,2.44540,0.00501,0.00606,0.02236,0.03342804
1.29282,1.84272,1.91395,0.00000,1.00000,1.81855,0.01245,0.01369,0.02236,0.04849760
1.97460,0.02450,0.58134,0.00000,1.00000,0.92610,0.01301,0.01193,0.02257,0.04750956
2.34158,1.89846,2.21696,0.00000,1.00000,2.97807,0.02792,0.02403,0.00000,0.05194774
1.71055,1.89846,2.21696,0.00000,1.00000,2.97807,0.00379,0.00460,0.00000,0.00838743
1.58472,1.18522,0.64738,0.00000,1.00000,2.97671,0.02390,0.01945,0.06709,0.11043369
0.20228,2.57582,0.05414,0.00000,1.00000,1.36731,0.00578,0.00841,0.02241,0.03660376
1.90284,1.56699,2.19134,0.00000,1.00000,0.02124,0.00919,0.00962,0.06709,0.08589287
1.38984,1.56699,2.19134,0.00000,1.00000,0.02124,0.00990,0.01082,0.06709,0.08781008
1.38984,2.44193,2.19134,0.00000,1.00000,0.02124,0.01068,0.01049,0.06709,0.08825702
1.38984,2.44193,2.12835,0.00000,1.00000,0.02124,0.01068,0.01049,0.06709,0.08825702
1.38984,2.44193,2.12835,0.00000,1.00000,1.22472,0.00986,0.01025,0.02290,0.04300537
2.02987,1.64419,1.50680,0.00000,1.00000,1.36702,0.01287,0.01256,0.03534,0.06077193
0.03737,2.31603,1.91307,0.00000,1.00000,1.69950,0.00595,0.00851,0.00000,0.01445937
1.32704,1.60571,0.70275,0.00000,1.00000,2.29040,0.00891,0.01167,0.04614,0.06672700
0.44019,1.51864,0.66990,0.00000,1.00000,0.90354,0.00643,0.00889,0.06709,0.08240149
1.43128,1.51864,0.66990,0.00000,1.00000,0.90354,0.00831,0.01051,0.06709,0.08591009
1.43128,2.89497,0.66990,0.00000,1.00000,0.90354,0.00704,0.01034,0.04499,0.06236866
1.43128,2.89497,0.10208,0.00000,1.00000,0.90354,0.00704,0.01034,0.04499,0.06236866
1.43128,2.89497,0.10208,0.00000,1.00000,2.18291,0.00640,0.01019,0.04472,0.06130913
2.15184,1.56996,1.25861,0.00000,1.00000,2.50459,0.01489,0.01409,0.03532,0.06430003
0.58063,0.44260,0.30523,0.00000,1.00000,1.32254,0.00777,0.00809,0.02260,0.03846939
2.06481,1.17308,2.03570,0.00000,1.00000,1.40677,0.01271,0.01717,0.03547,0.06534545
0.07493,1.74683,0.77078,0.00000,1.00000,1.91688,0.00606,0.00903,0.02236,0.03745406
1.82999,1.74683,0.77078,0.00000,1.00000,1.91688,0.00680,0.00941,0.02236,0.03857328
1.82999,2.18681,0.77078,0.00000,1.00000,1.91688,0.00687,0.00870,0.02236,0.03793210
1.82999,2.18681,0.24994,0.00000,1.00000,1.91688,0.00687,0.00870,0.02236,0.03793210
1.82999,2.18681,0.24994,0.00000,1.00000,1.94658,0.00674,0.00867,0.02236,0.03777147
1.58108,2.09251,1.49076,0.00000,1.00000,2.63200,0.00527,0.00525,0.00000,0.01052415
0.08423,0.55954,1.58397,0.00000,1.00000,0.08009,0.00845,0.00828,0.06709,0.08381604
0.37531,0.11324,2.57284,0.00000,1.00000,2.64248,0.00482,0.00507,0.00000,0.00988670
1.46874,0.11324,2.57284,0.00000,1.00000,2.64248,0.00683,0.00658,0.00747,0.02088147
