rs,rp,rd,rf,r_core_flag,rcore,DeltaE,DeltaEig,hardness,score
0.15930,1.62966,1.38851,0.00000,1.00000,0.00000,0.01172,0.02042,0.06709,0.09923071
1.86418,2.03188,2.09340,0.00000,1.00000,0.00000,0.06034,0.09185,0.00000,0.15218976
1.52400,2.69169,1.83945,0.00000,1.00000,0.00000,0.07584,0.14059,0.00009,0.21651666
1.88730,1.60789,2.25565,0.00000,1.00000,0.00000,0.05226,0.07685,0.00000,0.12911058
2.40036,1.60789,2.25565,0.00000,1.00000,0.00000,0.09801,0.13184,0.00000,0.22985198
2.40036,0.10300,2.25565,0.00000,1.00000,0.00000,0.09285,0.12285,0.06709,0.28279041
2.40036,0.10300,3.13617,0.00000,1.00000,0.00000,0.09285,0.12285,0.06709,0.28279041
0.99010,1.56831,0.72591,0.00000,1.00000,0.00000,0.01095,0.01940,0.05768,0.08802597
1.60487,1.18309,2.57113,0.00000,1.00000,0.00000,0.02588,0.03909,0.06709,0.13205845
1.78364,1.86185,1.36810,0.00000,1.00000,0.00000,0.04728,0.07276,0.00000,0.12004226
1.70972,1.86185,1.36810,0.00000,1.00000,0.00000,0.04205,0.06556,0.00000,0.10761560
1.70972,1.39595,1.36810,0.00000,1.00000,0.00000,0.03482,0.05237,0.00472,0.09191558
1.70972,1.39595,2.69242,0.00000,1.00000,0.00000,0.03482,0.05237,0.00457,0.09176148
1.92848,1.11471,2.91118,0.00000,1.00000,0.00000,0.04913,0.06834,0.01298,0.13045560
2.19623,0.16914,2.33881,0.00000,1.00000,0.00000,0.07440,0.10056,0.06709,0.24204629
0.56150,0.18814,1.79271,0.00000,1.00000,0.00000,0.09167,0.13613,0.05768,0.28548189
0.78744,0.18814,1.79271,0.00000,1.00000,0.00000,0.02597,0.03390,0.06709,0.12696039
0.78744,0.40894,1.79271,0.00000,1.00000,0.00000,0.02723,0.03294,0.06709,0.12725797
