rs,rp,rd,rf,r_core_flag,rcore,DeltaE,DeltaEig,hardness,score
0.51661,0.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.00058,0.00000,0.00057784
1.57026,0.00000,1.00000,1.00000,1.00000,0.00000,0.01264,0.01858,0.00000,0.03121774
0.67583,0.00000,1.00000,1.00000,1.00000,0.00000,0.00032,0.00101,0.00000,0.00132882
2.05761,0.00000,1.00000,1.00000,1.00000,0.00000,0.03229,0.04227,0.00000,0.07456246
0.03167,0.00000,1.00000,1.00000,1.00000,0.00000,0.00007,0.00031,0.00000,0.00037528
0.10002,0.00000,1.00000,1.00000,1.00000,0.00000,0.00013,0.00030,0.00000,0.00042844
0.39824,0.00000,1.00000,1.00000,1.00000,0.00000,0.00012,0.00040,0.00000,0.00052292
1.06485,0.00000,1.00000,1.00000,1.00000,0.00000,0.00266,0.00428,0.00000,0.00693836
2.18129,0.00000,1.00000,1.00000,1.00000,0.00000,0.03955,0.05038,0.00000,0.08993296
0.26213,0.00000,1.00000,1.00000,1.00000,0.00000,0.00014,0.00032,0.00000,0.00046196
2.46822,0.00000,1.00000,1.00000,1.00000,0.00000,0.05745,0.06991,0.00000,0.12735758
1.59872,0.00000,1.00000,1.00000,1.00000,0.00000,0.01323,0.01945,0.00000,0.03267874
0.22000,0.00000,1.00000,1.00000,1.00000,0.00000,0.00014,0.00031,0.00000,0.00044900
0.07423,0.00000,1.00000,1.00000,1.00000,0.00000,0.00012,0.00030,0.00000,0.00042018
2.05794,0.00000,1.00000,1.00000,1.00000,0.00000,0.03229,0.04227,0.00000,0.07456246
0.23590,0.00000,1.00000,1.00000,1.00000,0.00000,0.00014,0.00031,0.00000,0.00045372
1.77469,0.00000,1.00000,1.00000,1.00000,0.00000,0.02004,0.02794,0.00000,0.04798024
0.05461,0.00000,1.00000,1.00000,1.00000,0.00000,0.00012,0.00030,0.00000,0.00042226
2.06470,0.00000,1.00000,1.00000,1.00000,0.00000,0.03365,0.04377,0.00000,0.07742062
0.70610,0.00000,1.00000,1.00000,1.00000,0.00000,0.00039,0.00115,0.00000,0.00154190
1.87355,0.00000,1.00000,1.00000,1.00000,0.00000,0.02393,0.03267,0.00000,0.05659880
2.07794,0.00000,1.00000,1.00000,1.00000,0.00000,0.03365,0.04377,0.00000,0.07742062
2.34392,0.00000,1.00000,1.00000,1.00000,0.00000,0.04979,0.06136,0.00000,0.11114914
2.00385,0.00000,1.00000,1.00000,1.00000,0.00000,0.02970,0.03944,0.00000,0.06913540
1.50791,0.00000,1.00000,1.00000,1.00000,0.00000,0.01043,0.01547,0.00000,0.02590160
2.47915,0.00000,1.00000,1.00000,1.00000,0.00000,0.05745,0.06991,0.00000,0.12735758
0.83096,0.00000,1.00000,1.00000,1.00000,0.00000,0.00090,0.00176,0.00000,0.00265890
0.01648,0.00000,1.00000,1.00000,1.00000,0.00000,0.00007,0.00031,0.00000,0.00037760
0.21432,0.00000,1.00000,1.00000,1.00000,0.00000,0.00014,0.00031,0.00000,0.00044772
2.08319,0.00000,1.00000,1.00000,1.00000,0.00000,0.03365,0.04377,0.00000,0.07742062
1.51104,0.00000,1.00000,1.00000,1.00000,0.00000,0.01096,0.01620,0.00000,0.02715832
1.49034,0.00000,1.00000,1.00000,1.00000,0.00000,0.01043,0.01547,0.00000,0.02590160
2.43006,0.00000,1.00000,1.00000,1.00000,0.00000,0.05550,0.06780,0.00000,0.12330438
0.36812,0.00000,1.00000,1.00000,1.00000,0.00000,0.00013,0.00038,0.00000,0.00050692
2.48157,0.00000,1.00000,1.00000,1.00000,0.00000,0.05745,0.06991,0.00000,0.12735758
0.49985,0.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.00054,0.00000,0.00054214
0.95748,0.00000,1.00000,1.00000,1.00000,0.00000,0.00168,0.00282,0.00000,0.00450186
1.82195,0.00000,1.00000,1.00000,1.00000,0.00000,0.02192,0.03022,0.00000,0.05213714
