rs,rp,rd,rf,r_core_flag,rcore,DeltaE,DeltaEig,hardness,score
1.72152,0.24943,3.05715,0.00000,1.00000,0.00000,0.02792,0.03746,0.06709,0.13246610
2.47443,2.53316,2.31005,0.00000,1.00000,0.00000,0.08563,0.14310,0.00000,0.22873036
1.47687,1.21387,1.81250,0.00000,1.00000,0.00000,0.01775,0.02262,0.04279,0.08315863
1.04517,0.28217,1.82122,0.00000,1.00000,0.00000,0.00550,0.00791,0.06709,0.08049368
2.29365,0.28217,1.82122,0.00000,1.00000,0.00000,0.05082,0.06533,0.06709,0.18323776
2.29365,2.99883,1.82122,0.00000,1.00000,0.00000,0.14229,0.22270,0.00000,0.36498873
2.29365,2.99883,0.55191,0.00000,1.00000,0.00000,0.14229,0.22270,0.00430,0.36929039
1.39099,2.09616,1.14924,0.00000,1.00000,0.00000,0.02574,0.04313,0.01296,0.08183285
2.27444,0.17551,2.75707,0.00000,1.00000,0.00000,0.05067,0.06590,0.06709,0.18365137
1.68583,0.17551,2.75707,0.00000,1.00000,0.00000,0.02591,0.03538,0.06709,0.12837253
1.68583,1.36164,2.75707,0.00000,1.00000,0.00000,0.02954,0.03745,0.00082,0.06781436
1.68583,1.36164,2.23131,0.00000,1.00000,0.00000,0.02954,0.03745,0.00082,0.06781436
2.32309,0.99890,0.36857,0.00000,1.00000,0.00000,0.05292,0.06265,0.04473,0.16030851
1.56606,2.24188,0.11155,0.00000,1.00000,0.00000,0.03946,0.06642,0.02236,0.12824024
1.45423,1.31577,2.28171,0.00000,1.00000,0.00000,0.01751,0.02246,0.02058,0.06055062
2.12029,1.31577,2.28171,0.00000,1.00000,0.00000,0.04990,0.06039,0.00430,0.11459451
2.12029,0.36702,2.28171,0.00000,1.00000,0.00000,0.04604,0.05909,0.06709,0.17221935
2.12029,0.36702,3.11881,0.00000,1.00000,0.00000,0.04604,0.05909,0.06709,0.17221935
1.39356,1.51148,3.31402,0.00000,1.00000,0.00000,0.01634,0.02172,0.04472,0.08278574
2.36666,2.80785,0.28712,0.00000,1.00000,0.00000,0.11697,0.18796,0.02236,0.32729625
1.82707,1.06573,2.04501,0.00000,1.00000,0.00000,0.03457,0.04249,0.00192,0.07897433
1.05096,1.06573,2.04501,0.00000,1.00000,0.00000,0.00849,0.00697,0.04720,0.06265430
1.05096,0.87694,2.04501,0.00000,1.00000,0.00000,0.00806,0.00648,0.02666,0.04120737
1.05096,0.87694,1.05434,0.00000,1.00000,0.00000,0.00806,0.00648,0.02748,0.04202263
0.96154,1.28752,0.63946,0.00000,1.00000,0.00000,0.00751,0.00713,0.06709,0.08172707
0.53149,1.55556,3.21877,0.00000,1.00000,0.00000,0.03704,0.03458,0.06709,0.13870520
1.61342,2.53470,2.29510,0.00000,1.00000,0.00000,0.05655,0.10570,0.00000,0.16225084
0.25921,2.53470,2.29510,0.00000,1.00000,0.00000,0.04436,0.08424,0.06709,0.19568104
0.25921,1.16566,2.29510,0.00000,1.00000,0.00000,0.00801,0.00660,0.02378,0.03839084
0.25921,1.16566,0.48535,0.00000,1.00000,0.00000,0.00801,0.00660,0.04614,0.06075277
