rs,rp,rd,rf,r_core_flag,rcore,DeltaE,DeltaEig,hardness,score
0.60271,1.40756,3.12617,0.00000,1.00000,0.00000,0.01973,0.02154,0.02365,0.06491058
1.65964,0.46449,1.18310,0.00000,1.00000,0.00000,0.05361,0.08007,0.06709,0.20076763
1.21472,0.51957,2.16268,0.00000,1.00000,0.00000,0.01498,0.02512,0.06709,0.10718736
0.04892,1.14749,0.49689,0.00000,1.00000,0.00000,0.01260,0.00894,0.04903,0.07056838
1.93005,1.14749,0.49689,0.00000,1.00000,0.00000,0.07236,0.10551,0.02378,0.20164742
1.93005,1.71759,0.49689,0.00000,1.00000,0.00000,0.07925,0.12127,0.02241,0.22293377
1.93005,1.71759,0.63759,0.00000,1.00000,0.00000,0.07925,0.12127,0.02241,0.22293377
2.49549,2.78303,2.20263,0.00000,1.00000,0.00000,0.20589,0.35703,0.00000,0.56291693
2.34364,2.47625,0.89585,0.00000,1.00000,0.00000,0.14067,0.25618,0.00027,0.39711892
2.37420,2.30885,3.22845,0.00000,1.00000,0.00000,0.10834,0.20533,0.00000,0.31367474
0.80020,2.30885,3.22845,0.00000,1.00000,0.00000,0.06182,0.15086,0.06709,0.27976881
0.80020,0.51834,3.22845,0.00000,1.00000,0.00000,0.01142,0.00636,0.04903,0.06680329
0.80020,0.51834,1.39196,0.00000,1.00000,0.00000,0.01142,0.00636,0.04720,0.06497426
1.22779,1.23216,3.32411,0.00000,1.00000,0.00000,0.02479,0.02854,0.04614,0.09947734
0.21971,2.04253,1.31603,0.00000,1.00000,0.00000,0.02553,0.09091,0.05768,0.17411951
2.12158,0.48512,1.75862,0.00000,1.00000,0.00000,0.07372,0.10733,0.06709,0.24813519
0.00593,0.48512,1.75862,0.00000,1.00000,0.00000,0.01122,0.00668,0.06709,0.08499056
0.00593,0.62107,1.75862,0.00000,1.00000,0.00000,0.01209,0.00582,0.04481,0.06272657
0.00593,0.62107,0.00320,0.00000,1.00000,0.00000,0.01209,0.00582,0.06709,0.08500012
1.77221,1.15715,0.53928,0.00000,1.00000,0.00000,0.06471,0.09573,0.02318,0.18361368
2.23151,1.15583,0.03796,0.00000,1.00000,0.00000,0.06886,0.10148,0.02378,0.19411855
1.65666,2.02559,2.90772,0.00000,1.00000,0.00000,0.07692,0.13328,0.00000,0.21019752
0.02084,2.02559,2.90772,0.00000,1.00000,0.00000,0.02343,0.08614,0.06709,0.17665299
0.02084,0.87505,2.90772,0.00000,1.00000,0.00000,0.01326,0.00614,0.02984,0.04923930
0.02084,0.87505,2.18721,0.00000,1.00000,0.00000,0.01326,0.00614,0.02984,0.04923930
0.23035,1.69220,0.72610,0.00000,1.00000,0.00000,0.01008,0.03987,0.03065,0.08059922
1.51090,1.11124,2.89881,0.00000,1.00000,0.00000,0.04098,0.06357,0.00196,0.10650913
1.36982,0.37649,2.00998,0.00000,1.00000,0.00000,0.02792,0.04421,0.06709,0.13921800
1.92873,0.37649,2.00998,0.00000,1.00000,0.00000,0.07260,0.10659,0.06709,0.24627492
1.92873,2.57580,2.00998,0.00000,1.00000,0.00000,0.18826,0.32003,0.00000,0.50829242
1.92873,2.57580,0.41510,0.00000,1.00000,0.00000,0.18826,0.32003,0.02236,0.53065439
1.07207,0.15876,1.65290,0.00000,1.00000,0.00000,0.01020,0.02141,0.06709,0.09869251
1.40943,1.36269,0.55160,0.00000,1.00000,0.00000,0.03413,0.05162,0.03065,0.11639785
2.37098,2.65130,0.71985,0.00000,1.00000,0.00000,0.18630,0.32302,0.00247,0.51179448
2.17428,2.65130,0.71985,0.00000,1.00000,0.00000,0.20596,0.34534,0.00247,0.55377501
2.17428,2.96454,0.71985,0.00000,1.00000,0.00000,0.30792,0.48561,0.00247,0.79600063
2.17428,2.96454,2.83438,0.00000,1.00000,0.00000,0.30792,0.48561,0.00000,0.79352801
0.15436,0.30217,1.80213,0.00000,1.00000,0.00000,0.00943,0.01008,0.06709,0.08659268
0.70824,2.60641,0.89490,0.00000,1.00000,0.00000,0.12864,0.23704,0.04488,0.41055801
1.94821,1.27788,2.26827,0.00000,1.00000,0.00000,0.07368,0.10773,0.02236,0.20376956
1.94821,1.92707,2.26827,0.00000,1.00000,0.00000,0.08981,0.14492,0.00000,0.23473047
1.94821,1.92707,2.90564,0.00000,1.00000,0.00000,0.08981,0.14492,0.00000,0.23473047
1.52173,0.16675,1.79049,0.00000,1.00000,0.00000,0.04343,0.06796,0.06709,0.17847122
1.93785,0.58286,2.09328,0.00000,1.00000,0.00000,0.07267,0.10538,0.06709,0.24513411
1.03380,2.70649,1.56752,0.00000,1.00000,0.00000,0.15718,0.28030,0.00247,0.43995178
2.18529,0.58286,2.09328,0.00000,1.00000,0.00000,0.07153,0.10393,0.06709,0.24254295
2.18529,0.69682,2.09328,0.00000,1.00000,0.00000,0.07143,0.10307,0.06709,0.24158971
2.18529,0.69682,2.72998,0.00000,1.00000,0.00000,0.07143,0.10307,0.06709,0.24158971
0.42024,2.05840,3.46705,0.00000,1.00000,0.00000,0.04853,0.10605,0.06709,0.22166677
1.59938,0.39466,1.20336,0.00000,1.00000,0.00000,0.04851,0.07340,0.06709,0.18899453
0.48247,0.50237,2.08645,0.00000,1.00000,0.00000,0.07483,0.05016,0.06709,0.19207677
2.27481,0.50237,2.08645,0.00000,1.00000,0.00000,0.06370,0.09475,0.06709,0.22553539
2.27481,1.92858,2.08645,0.00000,1.00000,0.00000,0.08057,0.13318,0.00000,0.21374779
2.27481,1.92858,3.00754,0.00000,1.00000,0.00000,0.08057,0.13318,0.00000,0.21374779
1.56636,2.70650,0.78546,0.00000,1.00000,0.00000,0.19652,0.33670,0.02236,0.55558283
0.72748,1.08089,3.16554,0.00000,1.00000,0.00000,0.01278,0.00776,0.04472,0.06526654
0.99202,2.36713,0.11204,0.00000,1.00000,0.00000,0.07235,0.16811,0.04472,0.28518859
0.99202,1.86490,0.11204,0.00000,1.00000,0.00000,0.01741,0.06488,0.04279,0.12507591
0.99202,1.86490,2.07459,0.00000,1.00000,0.00000,0.01741,0.06488,0.04279,0.12507591
0.57483,0.96684,0.29999,0.00000,1.00000,0.00000,0.02490,0.01557,0.06709,0.10755968
0.10983,0.90548,0.61386,0.00000,1.00000,0.00000,0.01331,0.00636,0.06709,0.08675353
1.91949,0.15465,3.45744,0.00000,1.00000,0.00000,0.07511,0.11176,0.06709,0.25395267
1.00693,0.15465,3.45744,0.00000,1.00000,0.00000,0.00794,0.01815,0.06709,0.09317919
1.00693,2.56174,3.45744,0.00000,1.00000,0.00000,0.11294,0.22000,0.01295,0.34589685
1.00693,2.56174,2.55508,0.00000,1.00000,0.00000,0.11294,0.22000,0.01295,0.34589685
1.27932,1.70400,1.90807,0.00000,1.00000,0.00000,0.03004,0.05903,0.00024,0.08930800
1.52417,1.77040,0.07936,0.00000,1.00000,0.00000,0.05254,0.08528,0.02237,0.16019003
2.10812,1.38169,2.53027,0.00000,1.00000,0.00000,0.07510,0.11017,0.00047,0.18573703
1.68384,1.38169,2.53027,0.00000,1.00000,0.00000,0.05870,0.08899,0.00047,0.14815746
1.68384,2.82061,2.53027,0.00000,1.00000,0.00000,0.24156,0.39783,0.00000,0.63938753
1.68384,2.82061,0.41594,0.00000,1.00000,0.00000,0.24156,0.39783,0.02236,0.66174950
2.26591,2.40268,3.21298,0.00000,1.00000,0.00000,0.13611,0.24658,0.00000,0.38269397
2.16903,1.74386,0.12333,0.00000,1.00000,0.00000,0.07959,0.12278,0.02239,0.22476206
2.34934,1.74386,0.12333,0.00000,1.00000,0.00000,0.06635,0.10519,0.02239,0.19393477
2.34934,2.36457,0.12333,0.00000,1.00000,0.00000,0.12080,0.22694,0.02236,0.37009903
2.34934,2.36457,1.86891,0.00000,1.00000,0.00000,0.12080,0.22694,0.00000,0.34773706
1.45598,1.30737,0.80064,0.00000,1.00000,0.00000,0.03642,0.05789,0.03962,0.13392494
2.43987,0.99247,2.49718,0.00000,1.00000,0.00000,0.04623,0.07502,0.02333,0.14458106
1.71150,1.59742,3.05190,0.00000,1.00000,0.00000,0.06308,0.09636,0.00247,0.16191120
1.66099,0.99247,2.49718,0.00000,1.00000,0.00000,0.05358,0.08025,0.04614,0.17997448
1.66099,1.33463,2.49718,0.00000,1.00000,0.00000,0.05464,0.08324,0.00248,0.14036138
1.66099,1.33463,2.43586,0.00000,1.00000,0.00000,0.05464,0.08324,0.00248,0.14036140
2.03110,0.38022,3.21539,0.00000,1.00000,0.00000,0.07483,0.10948,0.06709,0.25139905
2.29562,0.23788,1.71378,0.00000,1.00000,0.00000,0.06556,0.09921,0.06709,0.23185846
1.58005,1.04273,2.79790,0.00000,1.00000,0.00000,0.04640,0.07075,0.00856,0.12571091
1.49068,1.04273,2.79790,0.00000,1.00000,0.00000,0.03906,0.06065,0.03414,0.13384304
1.49068,2.18189,2.79790,0.00000,1.00000,0.00000,0.07631,0.14762,0.00000,0.22393073
1.49068,2.18189,0.93545,0.00000,1.00000,0.00000,0.07631,0.14762,0.02236,0.24629270
2.34045,1.79226,1.67860,0.00000,1.00000,0.00000,0.06895,0.11169,0.00001,0.18064765
2.49154,2.60192,2.93869,0.00000,1.00000,0.00000,0.14740,0.27417,0.00000,0.42156722
1.83212,1.90437,0.22890,0.00000,1.00000,0.00000,0.08245,0.13339,0.02236,0.23820723
1.55172,1.90437,0.22890,0.00000,1.00000,0.00000,0.05987,0.10163,0.02236,0.18385775
1.55172,0.01934,0.22890,0.00000,1.00000,0.00000,0.04893,0.07696,0.06709,0.19298020
1.55172,0.01934,2.25323,0.00000,1.00000,0.00000,0.04893,0.07696,0.06709,0.19298020
2.44117,1.09206,1.82595,0.00000,1.00000,0.00000,0.04650,0.07575,0.00479,0.12703678
1.07041,1.72130,2.81827,0.00000,1.00000,0.00000,0.01879,0.04735,0.02264,0.08877692
2.01762,1.31660,1.53489,0.00000,1.00000,0.00000,0.07527,0.10994,0.00430,0.18951775
2.09754,1.31660,1.53489,0.00000,1.00000,0.00000,0.07509,0.10977,0.00430,0.18916686
2.09754,1.01691,1.53489,0.00000,1.00000,0.00000,0.07412,0.10710,0.04477,0.22599710
2.09754,1.01691,0.16457,0.00000,1.00000,0.00000,0.07412,0.10710,0.04477,0.22599710
2.21684,1.77624,1.24285,0.00000,1.00000,0.00000,0.07844,0.12261,0.00001,0.20105789
0.08902,0.37326,2.94091,0.00000,1.00000,0.00000,0.01028,0.00825,0.06709,0.08561759
1.81696,0.19312,1.89766,0.00000,1.00000,0.00000,0.06944,0.10385,0.06709,0.24037604
2.10075,0.19312,1.89766,0.00000,1.00000,0.00000,0.07664,0.11342,0.06709,0.25714824
2.10075,0.43862,1.89766,0.00000,1.00000,0.00000,0.07435,0.10847,0.06709,0.24990353
2.10075,0.43862,1.48189,0.00000,1.00000,0.00000,0.07435,0.10847,0.06709,0.24990353
1.29478,1.28489,1.22603,0.00000,1.00000,0.00000,0.02881,0.03784,0.04481,0.11146248
1.10556,2.55896,2.40673,0.00000,1.00000,0.00000,0.11515,0.22291,0.02236,0.36042027
0.18143,0.13934,2.53043,0.00000,1.00000,0.00000,0.00649,0.01621,0.06709,0.08978712
