rs,rp,rd,rf,r_core_flag,rcore,DeltaE,DeltaEig,hardness,score
1.74064,2.96268,3.05284,0.00000,1.00000,1.35221,0.00916,0.01136,0.00003,0.02054431
0.96767,2.35545,1.44560,0.00000,1.00000,0.57925,0.06079,0.07820,0.02237,0.16135827
1.14579,0.03357,2.12372,0.00000,1.00000,1.25737,0.00489,0.01704,0.02239,0.04431936
1.72591,2.07465,0.66481,0.00000,1.00000,0.96872,0.00590,0.01098,0.02984,0.04671403
1.14650,2.07465,0.66481,0.00000,1.00000,0.96872,0.00378,0.01655,0.04472,0.06505514
1.14650,1.29818,0.66481,0.00000,1.00000,0.96872,0.00539,0.01688,0.06709,0.08935551
1.14650,1.29818,0.99431,0.00000,1.00000,0.96872,0.00535,0.01688,0.06709,0.08931469
1.14650,1.29818,0.99431,0.00000,1.00000,2.77028,0.01989,0.01895,0.05768,0.09651579
2.33812,2.48980,2.36449,0.00000,1.00000,0.96190,0.03257,0.05286,0.00000,0.08543483
1.80095,0.25883,1.70919,0.00000,1.00000,2.57066,0.00672,0.01212,0.00000,0.01883687
2.43083,1.27169,2.72205,0.00000,1.00000,1.01803,0.03828,0.06474,0.04472,0.14774160
2.43083,2.62276,2.72205,0.00000,1.00000,1.01803,0.04299,0.06465,0.00000,0.10763898
2.43083,2.62276,3.25716,0.00000,1.00000,1.01803,0.04436,0.06401,0.00000,0.10836714
2.43083,2.62276,3.25716,0.00000,1.00000,0.17690,0.04354,0.06393,0.06709,0.17455189
2.14780,0.50522,0.66985,0.00000,1.00000,1.89387,0.01428,0.03273,0.02236,0.06937037
2.04438,2.42864,2.06644,0.00000,1.00000,1.79045,0.00861,0.02430,0.00000,0.03290972
2.21944,1.12763,3.26542,0.00000,1.00000,2.04607,0.02034,0.03919,0.02236,0.08189135
1.59934,1.60362,0.14532,0.00000,1.00000,1.92597,0.00778,0.00870,0.02236,0.03884425
2.39477,1.60362,0.14532,0.00000,1.00000,1.92597,0.03728,0.06117,0.02236,0.12081649
2.39477,2.12941,0.14532,0.00000,1.00000,1.92597,0.03718,0.06113,0.02236,0.12067051
2.39477,2.12941,0.86226,0.00000,1.00000,1.92597,0.03718,0.06113,0.01295,0.11126197
2.39477,2.12941,0.86226,0.00000,1.00000,2.59303,0.03151,0.05939,0.01295,0.10384987
0.51438,1.24902,1.81154,0.00000,1.00000,1.71264,0.01053,0.00925,0.02237,0.04214664
1.92289,2.96310,2.28960,0.00000,1.00000,1.34149,0.00581,0.01772,0.00000,0.02353018
0.42328,0.19456,3.02105,0.00000,1.00000,2.34187,0.00949,0.00788,0.00000,0.01737248
2.03583,0.97763,1.35480,0.00000,1.00000,2.21928,0.02699,0.03157,0.06709,0.12564251
2.03583,1.84307,1.35480,0.00000,1.00000,2.21928,0.00842,0.02421,0.00015,0.03277956
2.03583,1.84307,0.15093,0.00000,1.00000,2.21928,0.00846,0.02421,0.02236,0.05503125
2.03583,1.84307,0.15093,0.00000,1.00000,2.22609,0.00846,0.02421,0.02236,0.05503125
1.86484,0.18867,1.51879,0.00000,1.00000,1.96694,0.00438,0.01502,0.00000,0.01940481
0.11814,2.93728,0.76740,0.00000,1.00000,1.97188,0.00882,0.00863,0.02236,0.03981287
1.22377,1.70002,1.59984,0.00000,1.00000,1.07751,0.00480,0.01305,0.02245,0.04030260
1.60682,0.60472,2.00454,0.00000,1.00000,1.06988,0.00877,0.00948,0.04477,0.06302723
0.43578,0.60472,2.00454,0.00000,1.00000,1.06988,0.00912,0.00920,0.02241,0.04072782
0.43578,0.63410,2.00454,0.00000,1.00000,1.06988,0.00912,0.00920,0.02241,0.04072782
0.43578,0.63410,1.59273,0.00000,1.00000,1.06988,0.00897,0.00922,0.01300,0.03119692
0.43578,0.63410,1.59273,0.00000,1.00000,0.93275,0.00826,0.00878,0.01295,0.02999278
1.22822,2.85784,3.30931,0.00000,1.00000,0.32088,0.00906,0.01339,0.02236,0.04481685
2.15162,1.08295,0.73271,0.00000,1.00000,2.34821,0.02032,0.03316,0.04614,0.09962657
1.93822,2.67299,0.46104,0.00000,1.00000,1.02645,0.00489,0.01821,0.04472,0.06782164
1.53305,2.67299,0.46104,0.00000,1.00000,1.02645,0.00889,0.00850,0.02236,0.03975623
1.53305,0.54440,0.46104,0.00000,1.00000,1.02645,0.00866,0.00892,0.02239,0.03997537
1.53305,0.54440,0.73361,0.00000,1.00000,1.02645,0.00866,0.00892,0.00750,0.02508691
1.53305,0.54440,0.73361,0.00000,1.00000,2.71560,0.00911,0.00787,0.02236,0.03934563
1.13535,2.25355,2.25718,0.00000,1.00000,2.13111,0.01128,0.01651,0.02625,0.05404901
