rs,rp,rd,rf,r_core_flag,rcore,DeltaE,DeltaEig,hardness,score
0.64069,1.47537,1.76625,0.00000,1.00000,2.01703,0.01564,0.01154,0.02236,0.04954007
0.05712,2.83348,1.12436,0.00000,1.00000,2.43346,0.01637,0.01088,0.00747,0.03472755
1.29383,0.51724,2.80812,0.00000,1.00000,1.67017,0.00834,0.01459,0.02236,0.04529636
2.36049,1.68604,1.37478,0.00000,1.00000,2.83896,0.01979,0.02862,0.00016,0.04856116
1.63830,2.28576,0.65259,0.00000,1.00000,0.43868,0.00919,0.00795,0.02245,0.03958670
0.09175,2.28576,0.65259,0.00000,1.00000,0.43868,0.00926,0.00793,0.02245,0.03963745
0.09175,1.82569,0.65259,0.00000,1.00000,0.43868,0.00963,0.00786,0.02239,0.03988398
0.09175,1.82569,3.20509,0.00000,1.00000,0.43868,0.00963,0.00786,0.00012,0.01761043
0.09175,1.82569,3.20509,0.00000,1.00000,0.97620,0.00981,0.00771,0.00000,0.01752504
1.32561,1.55956,0.71134,0.00000,1.00000,2.48245,0.01565,0.01551,0.06709,0.09825079
1.20564,1.93959,0.09137,0.00000,1.00000,2.86248,0.01948,0.02367,0.06709,0.11023281
0.48557,2.04612,0.69790,0.00000,1.00000,1.64240,0.01072,0.00856,0.02236,0.04164157
0.28431,2.78714,2.34689,0.00000,1.00000,2.82261,0.01629,0.00998,0.00000,0.02627498
0.36626,2.36909,0.42884,0.00000,1.00000,1.62114,0.01158,0.00885,0.02236,0.04278899
1.49795,2.45005,2.83238,0.00000,1.00000,2.45179,0.01358,0.01062,0.00142,0.02562512
1.49795,1.34866,2.83238,0.00000,1.00000,2.45179,0.01902,0.01404,0.04472,0.07778692
1.49795,1.34866,1.48974,0.00000,1.00000,2.45179,0.01902,0.01404,0.04499,0.07805546
1.49795,1.34866,1.48974,0.00000,1.00000,1.11130,0.01310,0.01000,0.02318,0.04628221
0.25688,2.19166,0.58453,0.00000,1.00000,1.95430,0.01196,0.00938,0.02236,0.04369827
2.09023,2.87940,2.85456,0.00000,1.00000,0.87742,0.00759,0.01416,0.00000,0.02175450
2.42435,2.87940,2.85456,0.00000,1.00000,0.87742,0.02458,0.03368,0.00000,0.05826230
